customer,gc_completeness,gg_completeness,accepted,rejection_reason
1,1.0,1.0,True,
10,1.0,1.0,True,
100,1.0,1.0,True,
101,1.0,1.0,True,
102,1.0,1.0,True,
103,1.0,1.0,True,
104,1.0,1.0,True,
105,1.0,1.0,True,
106,1.0,1.0,True,
107,1.0,1.0,True,
108,1.0,1.0,True,
109,1.0,1.0,True,
11,1.0,1.0,True,
110,1.0,1.0,True,
111,1.0,1.0,True,
112,1.0,1.0,True,
113,1.0,1.0,True,
114,1.0,1.0,True,
115,1.0,1.0,True,
116,1.0,1.0,True,
117,1.0,1.0,True,
118,1.0,1.0,True,
119,1.0,1.0,True,
12,1.0,1.0,True,
120,1.0,1.0,True,
121,1.0,1.0,True,
122,1.0,1.0,True,
123,1.0,1.0,True,
124,1.0,1.0,True,
125,1.0,1.0,True,
126,1.0,1.0,True,
127,1.0,1.0,True,
128,1.0,1.0,True,
129,1.0,1.0,True,
13,1.0,1.0,True,
130,1.0,1.0,True,
131,1.0,1.0,True,
132,1.0,1.0,True,
133,1.0,1.0,True,
134,1.0,1.0,True,
135,1.0,1.0,True,
136,1.0,1.0,True,
137,1.0,1.0,True,
138,1.0,1.0,True,
139,1.0,1.0,True,
14,1.0,1.0,True,
140,1.0,1.0,True,
141,1.0,1.0,True,
142,1.0,1.0,True,
143,1.0,1.0,True,
144,1.0,1.0,True,
145,1.0,1.0,True,
146,1.0,1.0,True,
147,1.0,1.0,True,
148,1.0,1.0,True,
149,1.0,1.0,True,
15,1.0,1.0,True,
150,1.0,1.0,True,
151,1.0,1.0,True,
152,1.0,1.0,True,
153,1.0,1.0,True,
154,1.0,1.0,True,
155,1.0,1.0,True,
156,1.0,1.0,True,
157,1.0,1.0,True,
158,1.0,1.0,True,
159,1.0,1.0,True,
16,1.0,1.0,True,
160,1.0,1.0,True,
161,1.0,1.0,True,
162,1.0,1.0,True,
163,1.0,1.0,True,
164,1.0,1.0,True,
165,1.0,1.0,True,
166,1.0,1.0,True,
167,1.0,1.0,True,
168,1.0,1.0,True,
169,1.0,1.0,True,
17,1.0,1.0,True,
170,1.0,1.0,True,
171,1.0,1.0,True,
172,1.0,1.0,True,
173,1.0,1.0,True,
174,1.0,1.0,True,
175,1.0,1.0,True,
176,1.0,1.0,True,
177,1.0,1.0,True,
178,1.0,1.0,True,
179,1.0,1.0,True,
18,1.0,1.0,True,
180,1.0,1.0,True,
181,1.0,1.0,True,
182,1.0,1.0,True,
183,1.0,1.0,True,
184,1.0,1.0,True,
185,1.0,1.0,True,
186,1.0,1.0,True,
187,1.0,1.0,True,
188,1.0,1.0,True,
189,1.0,1.0,True,
19,1.0,1.0,True,
190,1.0,1.0,True,
191,1.0,1.0,True,
192,1.0,1.0,True,
193,1.0,1.0,True,
194,1.0,1.0,True,
195,1.0,1.0,True,
196,1.0,1.0,True,
