bus,baseline_ac_voltage_squared,voltage_headroom_squared,coefficient_13_pu_per_pu,coefficient_30_pu_per_pu,coefficient_13_v2_per_kw,coefficient_30_v2_per_kw,axis_13_limit_kw,axis_13_rank,axis_30_limit_kw,axis_30_rank
1,1,0.1025,0,0,0,0,Inf,33,Inf,33
2,0.999989863702297,0.102510136297703,0.0115051823234479,0.0115051823234479,1.15051823234479e-06,1.15051823234479e-06,89099.0976203695,28,89099.0976203695,28
3,1.0004881774577,0.1020118225423,0.0730242157883046,0.0730242157883046,7.30242157883046e-06,7.30242157883046e-06,13969.5882305713,24,13969.5882305713,24
4,1.00176688610547,0.100733113894531,0.11869554692043,0.11869554692043,1.1869554692043e-05,1.1869554692043e-05,8486.68012474468,23,8486.68012474468,23
5,1.00322090673353,0.0992790932664727,0.166251132424399,0.166251132424399,1.66251132424399e-05,1.66251132424399e-05,5971.63410671015,22,5971.63410671015,22
6,1.00560383291648,0.09689616708352,0.268450094711859,0.268450094711859,2.68450094711859e-05,2.68450094711859e-05,3609.46667526877,13,3609.46667526877,21
7,1.00631021777476,0.0961897822252373,0.291809857520421,0.268450094711859,2.91809857520421e-05,2.68450094711859e-05,3296.31709643345,12,3583.1532236367,20
8,1.01167822274398,0.0908217772560169,0.380581947595267,0.268450094711859,3.80581947595267e-05,2.68450094711859e-05,2386.39215101716,11,3383.19035996246,19
9,1.01967564759538,0.0828243524046151,0.509110557065455,0.268450094711859,5.09110557065455e-05,2.68450094711859e-05,1626.84413542748,10,3085.27931396391,17
10,1.02799534697651,0.0745046530234925,0.639386157343975,0.268450094711859,6.39386157343975e-05,2.68450094711859e-05,1165.25283144988,9,2775.36326084974,15
11,1.02963938157677,0.0728606184232312,0.663918899695275,0.268450094711859,6.63918899695275e-05,2.68450094711859e-05,1097.43250955309,8,2714.12153910529,14
12,1.03281453013723,0.0696854698627665,0.710638425312399,0.268450094711859,7.10638425312399e-05,2.68450094711859e-05,980.603741377093,7,2595.84448787636,13
13,1.04524852698633,0.0572514730136673,0.893822890071851,0.268450094711859,8.93822890071851e-05,2.68450094711859e-05,640.523683713952,1,2132.66726819814,6
14,1.04460126405635,0.0578987359436482,0.893822890071851,0.268450094711859,8.93822890071851e-05,2.68450094711859e-05,647.765195843149,2,2156.77837647232,7
15,1.0441984327078,0.0583015672922023,0.893822890071851,0.268450094711859,8.93822890071851e-05,2.68450094711859e-05,652.272032186551,3,2171.78419530007,8
16,1.04380847935072,0.0586915206492786,0.893822890071851,0.268450094711859,8.93822890071851e-05,2.68450094711859e-05,656.634790865119,4,2186.31029772127,9
17,1.04323116158988,0.0592688384101248,0.893822890071851,0.268450094711859,8.93822890071851e-05,2.68450094711859e-05,663.093763523558,5,2207.81588748333,11
18,1.04305827996209,0.0594417200379072,0.893822890071851,0.268450094711859,8.93822890071851e-05,2.68450094711859e-05,665.027945671976,6,2214.25587879598,12
19,0.999826153397626,0.102673846602374,0.0115051823234479,0.0115051823234479,1.15051823234479e-06,1.15051823234479e-06,89241.3902847262,29,89241.3902847262,29
20,0.998718883547179,0.103781116452821,0.0115051823234479,0.0115051823234479,1.15051823234479e-06,1.15051823234479e-06,90203.7999357147,30,90203.7999357147,30
21,0.998500949275205,0.103999050724795,0.0115051823234479,0.0115051823234479,1.15051823234479e-06,1.15051823234479e-06,90393.2226374563,31,90393.2226374563,31
22,0.998303830233548,0.104196169766452,0.0115051823234479,0.0115051823234479,1.15051823234479e-06,1.15051823234479e-06,90564.5532918653,32,90564.5532918653,32
23,0.999400097431119,0.103099902568881,0.0730242157883046,0.0730242157883046,7.30242157883046e-06,7.30242157883046e-06,14118.5908613883,25,14118.5908613883,25
24,0.997378716668744,0.105121283331256,0.0730242157883046,0.0730242157883046,7.30242157883046e-06,7.30242157883046e-06,14395.4005115235,26,14395.4005115235,26
25,0.996373313887849,0.106126686112151,0.0730242157883046,0.0730242157883046,7.30242157883046e-06,7.30242157883046e-06,14533.0812479807,27,14533.0812479807,27
26,1.0050471149876,0.0974528850124012,0.268450094711859,0.293781461432682,2.68450094711859e-05,2.93781461432682e-05,3630.20490333603,14,3317.18974155664,18
27,1.00430831649241,0.0981916835075907,0.268450094711859,0.329245374841835,2.68450094711859e-05,3.29245374841835e-05,3657.72579119351,15,2982.32537221702,16
28,1.00101555022883,0.101484449771167,0.268450094711859,0.461392750986426,2.68450094711859e-05,4.61392750986426e-05,3780.38420437496,16,2199.52414844404,10
29,0.998654526349716,0.103845473650284,0.268450094711859,0.561744894419363,2.68450094711859e-05,5.61744894419363e-05,3868.33440166026,17,1848.62336412727,5
30,0.997634125928549,0.104865874071451,0.268450094711859,0.625073311221421,2.68450094711859e-05,6.25073311221421e-05,3906.34520669506,18,1677.65719938575,1
31,0.996443733125802,0.106056266874198,0.268450094711859,0.625073311221421,2.68450094711859e-05,6.25073311221421e-05,3950.68837610332,19,1696.70125040148,2
32,0.99618198431493,0.10631801568507,0.268450094711859,0.625073311221421,2.68450094711859e-05,6.25073311221421e-05,3960.43874743969,20,1700.88874019145,3
33,0.996100900470639,0.106399099529361,0.268450094711859,0.625073311221421,2.68450094711859e-05,6.25073311221421e-05,3963.45919130944,21,1702.18592954244,4
