edge_id_a,edge_id_b,common_geometry_timestamp_count,adjacent_common_timestamp_count,adjacent_at_all_common_timestamps,relationship_basis,co_temporal_blocker_timestamps,co_temporal_blocker_count,co_temporal_blocker_adjacent_count
E0019,E0021,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0019,E0044,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0019,E0045,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0019,E0046,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,2012-10-15 13:00:00,1,0
E0021,E0044,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0021,E0045,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0021,E0046,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0044,E0045,32,32,true,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0044,E0046,32,0,false,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
E0045,E0046,32,32,true,SHARED_COMMITTED_SOURCE_ENDPOINT_WITHIN_1E-8_KW,,0,0
