timestamp,edge_id,blocking_calibration_id,original_limit_failure_channel,last_sampled_original_limit_pass_d_kw,first_sampled_original_limit_fail_d_kw,sampled_transition_interval_lower_kw,sampled_transition_interval_upper_kw,first_sampled_fail_vmin_pu,first_sampled_fail_vmax_pu,unsampled_interval_width_kw,continuous_crossing_location_claim
2010-07-02 17:30:00,E0044,CAL_001400,VMIN,1,2,1,2,0.899994970456295,1.032125737679,1,false
2010-07-02 18:00:00,E0044,CAL_002142,VMIN,0,4.75,0,4.75,0.899996208231859,1.03060318766363,4.75,false
2010-12-21 11:30:00,E0019,CAL_004006,VMAX,0,0.5,0,0.5,0.924667191282065,1.05000123872028,0.5,false
2011-02-05 18:00:00,E0021,CAL_007795,VMAX,0,0.5,0,0.5,0.924943266599439,1.0500003403667,0.5,false
2011-03-08 11:30:00,E0019,CAL_010025,VMAX,0.5,1,0.5,1,0.92457006208378,1.05000017428696,0.5,false
2011-03-08 12:30:00,E0019,CAL_010772,VMAX,1,2,1,2,0.925605406805648,1.05000138049424,1,false
2011-05-11 17:30:00,E0019,CAL_011530,VMAX,0,0.5,0,0.5,0.924365499687332,1.05000021376058,0.5,false
2011-05-16 07:30:00,E0045,CAL_013426,VMIN,0,0.5,0,0.5,0.899996504336803,1.03368683599798,0.5,false
2011-11-14 17:30:00,E0019,CAL_016050,VMAX,0.5,1,0.5,1,0.924507752158607,1.05000083456408,0.5,false
2011-12-15 05:30:00,E0019,CAL_017538,VMAX,0,0.5,0,0.5,0.922731840064223,1.05000133613965,0.5,false
2012-08-04 03:30:00,E0019,CAL_018283,VMAX,0,2.75,0,2.75,0.922526839071571,1.05001356857874,2.75,false
2012-08-24 12:00:00,E0019,CAL_019786,VMAX,0.5,1,0.5,1,0.9245395394403,1.05000008526573,0.5,false
2012-10-15 13:00:00,E0019,CAL_022026,VMAX,0,0.5,0,0.5,0.922731024018944,1.05000238840531,0.5,false
2012-10-15 13:00:00,E0046,CAL_022417,VMIN,0,0.5,0,0.5,0.899998739322235,1.02316565883744,0.5,false
2013-04-17 05:30:00,E0019,CAL_023520,VMAX,0,0.5,0,0.5,0.920972131045605,1.05000218088643,0.5,false
