attempt_id,logical_call_id,attempt_index,phase,timestamp,edge_id,calibration_id,d_kw,p13_abs_kw,p30_abs_kw,initialization,solver_status,primary_power_flow_status,replay_status,vmin_pu,vmin_bus,vmax_pu,vmax_bus,maximum_residual,primary_replay_voltage_difference_pu,primary_iterations,replay_iterations,runtime_ms
ATT_T031_000001_1,CALL_T031_000001,1,CONFIGURATION_CONTROL,2013-04-07 02:00:00,,,0,63.28125,73.359375,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.982153131684875,18,1,1,2.44249065417534e-15,5.78426195829707e-14,20,22,0.1844
ATT_T031_000002_1,CALL_T031_000002,1,CONFIGURATION_CONTROL,2013-04-07 02:00:00,,,0,1650.3125,0,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.997852641418114,25,1.04999218211459,13,1.59128324238135e-14,1.87405646556726e-13,22,24,0.1434
ATT_T031_000003_1,CALL_T031_000003,1,CONFIGURATION_CONTROL,2013-04-07 02:00:00,,,0,-1523.75,0,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.900001313235995,18,1,1,1.80966353013901e-14,9.90429960268102e-13,25,28,0.1512
ATT_T031_000004_1,CALL_T031_000004,1,CONFIGURATION_CONTROL,2013-04-07 02:00:00,,,0,1650.625,0,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.997853628318002,25,1.0500043690422,13,1.6019951054056e-14,1.87627691161651e-13,22,24,0.1319
ATT_T031_000005_1,CALL_T031_000005,1,ANCHOR_SEARCH,2013-04-07 02:00:00,E0000,CAL_022517,0,1571.88943537566,243.704309041212,FLAT_START,CONVERGED_INFEASIBLE,CONVERGED,PASSED,0.998473242301823,25,1.05000983354769,13,1.29689022283426e-14,1.56097357262297e-13,22,24,0.1362
ATT_T031_000006_1,CALL_T031_000006,1,ANCHOR_SEARCH,2013-04-07 02:00:00,E0000,CAL_022517,0.5,1571.41326001141,243.551806508504,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.998471199522937,25,1.04998928938868,13,1.29497701213527e-14,1.56541446472147e-13,22,24,0.1425
ATT_T031_000007_1,CALL_T031_000007,1,ANCHOR_SEARCH,2013-04-07 02:00:00,E0000,CAL_022517,1,1570.93708464716,243.399303975796,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.998469156649018,25,1.04996874431446,13,1.29433939077583e-14,1.56319401867222e-13,22,24,0.1357
ATT_T031_000008_1,CALL_T031_000008,1,ANCHOR_SEARCH,2013-04-07 02:00:00,E0000,CAL_022517,2,1569.98473391866,243.09429891038,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.998465070616036,25,1.04992765141993,13,1.29051488178534e-14,1.55209178842597e-13,22,24,0.1588
ATT_T031_000009_1,CALL_T031_000009,1,ANCHOR_SEARCH,2013-04-07 02:00:00,E0000,CAL_022517,4,1568.08003246167,242.484288779547,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.99845689740923,25,1.04984545464354,13,1.28414538376033e-14,1.54543045027822e-13,22,24,0.132
ATT_T031_000010_1,CALL_T031_000010,1,ANCHOR_SEARCH,2013-04-07 02:00:00,E0000,CAL_022517,3,1569.03238319017,242.789293844963,FLAT_START,CONVERGED_FEASIBLE,CONVERGED,PASSED,0.9984609842028,25,1.04988655486324,13,1.28669247625215e-14,1.54765089632747e-13,22,24,0.1333
