calibration_membership_id,timestamp,edge_id,t,p13_abs_kw_at_source_geometry,p30_abs_kw_at_source_geometry,source_kind,future_role,future_d_i_star_kw,ac_evaluated_in_preregistration
CAL_000001,2010-07-01 07:30:00,E0000,0,1845.63183594,614.6875,OUTER_VERTEX_ENDPOINT_A_ONCE_PER_EDGE,COMBINED_REPAIRED_GEOMETRY_VERIFICATION_ONLY,NOT_APPLICABLE_VERTEX_COMBINED_GEOMETRY,False
CAL_000002,2010-07-01 07:30:00,E0000,0.0532358352036928,1840.14414409491,632.113477914114,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000003,2010-07-01 07:30:00,E0000,0.106062020407658,1834.69868006412,649.405362847053,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000004,2010-07-01 07:30:00,E0000,0.158491220492837,1829.29413831793,666.567300463759,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000005,2010-07-01 07:30:00,E0000,0.210535790648615,1823.92924525047,683.603335056135,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000006,2010-07-01 07:30:00,E0000,0.262207789110234,1818.60275786669,700.517413712458,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000007,2010-07-01 07:30:00,E0000,0.313518989376474,1813.31346252296,717.313390316656,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000008,2010-07-01 07:30:00,E0000,0.364480891935062,1808.06017371833,733.995029386452,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000009,2010-07-01 07:30:00,E0000,0.415104735521731,1802.84173293394,750.566009758855,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000010,2010-07-01 07:30:00,E0000,0.465401507937447,1797.657007518,767.029928131017,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000011,2010-07-01 07:30:00,E0000,0.515381956446926,1792.50488961377,783.390302464043,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000012,2010-07-01 07:30:00,E0000,0.565056597780372,1787.38429512868,799.65057525691,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000013,2010-07-01 07:30:00,E0000,0.614435727759123,1782.29416274201,815.814116697285,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000014,2010-07-01 07:30:00,E0000,0.663529430564852,1777.23345294942,831.884227695663,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000015,2010-07-01 07:30:00,E0000,0.712347587670902,1772.20114714229,847.864142808909,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000016,2010-07-01 07:30:00,E0000,0.760899886453384,1767.19624672006,863.757033058977,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000017,2010-07-01 07:30:00,E0000,0.80919582849876,1762.21777223385,879.566008652276,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000018,2010-07-01 07:30:00,E0000,0.857244737623791,1757.26476255979,895.294121604883,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000019,2010-07-01 07:30:00,E0000,0.905055767622939,1752.33627410032,910.944368278544,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000020,2010-07-01 07:30:00,E0000,0.952637909757552,1747.43138001226,926.519691832151,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000021,2010-07-01 07:30:00,E0001,0,1742.54916946,942.022984593,OUTER_VERTEX_ENDPOINT_A_ONCE_PER_EDGE,COMBINED_REPAIRED_GEOMETRY_VERIFICATION_ONLY,NOT_APPLICABLE_VERTEX_COMBINED_GEOMETRY,False
CAL_000022,2010-07-01 07:30:00,E0001,0.0515326571721966,1737.79826587767,957.486292796876,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000023,2010-07-01 07:30:00,E0001,0.102852372442007,1733.06699385525,972.885703921759,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000024,2010-07-01 07:30:00,E0001,0.153968232099378,1728.35451570865,988.223944473703,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000025,2010-07-01 07:30:00,E0001,0.204889188525378,1723.6600060991,1003.50370077698,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
CAL_000026,2010-07-01 07:30:00,E0001,0.255624066803037,1718.98265142373,1018.72762095777,COMMITTED_ANGULAR_INTERIOR,D_I_STAR_SEARCH_AND_FINAL_REPAIRED_GEOMETRY_VERIFY,FUTURE_AC_ONLY,False
