group,response,predictor,n,pearson_r,spearman_rho,ols_slope,ols_intercept,ols_r2,interpretation
ALL,s_e_pu,edge_length_squared_kw2,1776,-0.0332642547870724,-0.0162840536553063,-1.43435599707953e-10,0.000144369815523503,0.00110651064653922,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,s_e_pu,angular_span_deg,1776,-0.0387645620055924,0.0473283940311194,-9.97874161144386e-06,0.000193778454227664,0.00150269126748537,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,s_e_pu,mean_abs_endpoint_turn_deg,1776,0.173904986492419,0.0552931394670769,6.30367108132946e-06,5.91925751549701e-05,0.0302429443269285,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,s_e_pu,max_abs_endpoint_turn_deg,1776,0.140629433544503,0.0379601916162672,3.36781460935752e-06,6.98872112880358e-05,0.0197766375790478,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,s_e_pu,topology_normal_margin_sensitivity_pu_per_kw,1712,-0.154616375098151,0.0249495448820512,-5.93371702424532,0.00058673260166223,0.0239062234484921,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,abs_s_e_pu,edge_length_squared_kw2,1776,0.266406749734032,0.788879566359209,1.09739056316617e-09,7.82162420386732e-05,0.070972556303851,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,abs_s_e_pu,angular_span_deg,1776,0.06459275101522,0.31199509190453,1.5884060027293e-05,0.000125496017653925,0.00417222348371427,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,abs_s_e_pu,mean_abs_endpoint_turn_deg,1776,0.436263622663119,0.537389106385114,1.51066216590638e-05,8.29098020342046e-05,0.190325948459148,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,abs_s_e_pu,max_abs_endpoint_turn_deg,1776,0.37998293877331,0.508129044270577,8.69306423040857e-06,9.8619054151505e-05,0.144387033758801,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
ALL,abs_s_e_pu,topology_normal_margin_sensitivity_pu_per_kw,1712,-0.287115059073899,-0.177342604554425,-10.5069402111095,0.0010581264769656,0.0824350571470083,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
VMAX_MARGIN,s_e_pu,edge_length_squared_kw2,892,-0.515130833551503,-0.964205400870224,-1.37501361917127e-09,0.000143659566429424,0.265359775675466,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
VMAX_MARGIN,s_e_pu,angular_span_deg,892,-0.26077041683176,-0.312829429974373,-4.37313447561481e-05,0.000251823984438165,0.0680012102946098,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
VMAX_MARGIN,s_e_pu,mean_abs_endpoint_turn_deg,892,-0.255141010946896,-0.421883528060817,-6.00284136416603e-06,1.03372754816578e-05,0.0650969354670043,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
VMAX_MARGIN,s_e_pu,max_abs_endpoint_turn_deg,892,-0.231563804779402,-0.400936115120947,-3.57505100976771e-06,6.16504800226618e-06,0.0536217956839133,DIAGNOSTIC_SCALING_ONLY_NOT_AUTHORITATIVE_RETREAT
