check_id,status,detail
SOURCE_BRANCH,PASS,codex/dso-vpp-ac-map-pilot
SOURCE_HEAD,PASS,5538146bc22386abe52601a2ab0129064335f855
OUTER_EDGE_COUNT,PASS,1689
VALIDATION_POINT_COUNT,PASS,65494
ANGULAR_T_MAPPING,PASS,maximum_fraction_or_distance_mismatch=4.54747350886464e-13
OUTER_VERTEX_COUNT,PASS,1689
BOTH_COUNT,PASS,1554
BOTH_EQUALS_ANGULAR_HIT_OUTER_VERTICES,PASS,"angular_hits=1554, both_vertex_keys=1554, both_nonvertices=0"
ALL_VERTICES_HAVE_PRODUCTION_ENDPOINT,PASS,missing=0
EXACTLY_ONE_OWNER_CELL_PER_OUTER_EDGE,PASS,inconsistent_edges=0
ALL_OWNER_CELLS_CONVEX,PASS,nonconvex_owner_occurrences=0
ALL_RETREAT_CAPS_POSITIVE,PASS,nonpositive_or_undefined=0
WITHIN_EDGE_FITS_AVAILABLE,PASS,sufficient_fits=1776
GUARD_CROSSING_RECONSTRUCTION,PASS,"points=1371,failures=0"
GUARD_ADJACENT_FAILURE_RECONSTRUCTION,PASS,failures=576
NONGUARD_FAILURE_RECONSTRUCTION,PASS,failures=6484
ALL_BOUNDARY_POINTS_MAP_TO_EDGE,PASS,unmapped=0
RUNTIME_ACTIVE_SUM_MATCH,PASS,"computed=218.9383157,stored=218.9383157"
RUNTIME_UNATTRIBUTED_MATCH,PASS,"computed=174.0950103,stored=174.0950103"
LOCKED_TOTAL_FAILURES,PASS,9420
LOCKED_DIRECT_ANGULAR_FAILURES,PASS,7060
LOCKED_CELL_EDGE_FAILURES,PASS,2360
LOCKED_STRICT_INTERIOR_FAILURES,PASS,0
