stratum_dimension,stratum_value,count,min,q1,median,q3,max,mean,count_below_0_5_kw,count_below_1_kw,count_below_2_kw,count_below_5_kw,threshold_interpretation
ALL,ALL,1689,872.060598912349,1569.21654987395,2115.03047676857,3174.38627003284,7148.88474391187,2431.35716988987,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
boundary_class,CLASS_TRANSITION,128,1239.03302160327,2097.66140788082,2978.31519323215,4721.87477386054,7148.88474391187,3387.63602539216,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
boundary_class,VMAX13,397,872.060598912349,1241.92018917059,1457.66803934536,1539.07548320415,3050.31965725287,1499.55769041658,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
boundary_class,VMAX30,390,1349.92768055833,1813.45237033534,1968.3561501281,2068.56973686647,4027.36020006469,1928.566953024,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
boundary_class,VMIN18,403,1486.82396505053,3148.95410653705,3217.35343852094,3298.6659512278,3477.26641700535,2943.56703535248,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
boundary_class,VMIN33,371,2144.03256823623,2595.66009815777,2871.25801654489,3448.26438583181,4835.71357215783,3070.6787565283,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
guard_relation,ADJACENT_TO_GUARD_LIMITED_EDGE,128,1349.92768055833,1760.54373083979,2806.45752752963,3047.93814799777,4835.71357215783,2568.73674181261,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
guard_relation,CROSSES_GUARD_LIMITED_RAY,64,2566.90879529673,3262.9766017986,4746.58276798563,5837.78750734261,7148.88474391187,4581.28714051106,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
guard_relation,NONE,1497,872.060598912349,1554.03344063047,2093.98024536856,3161.55102685266,4784.27741874515,2327.69644622529,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
normal_sign_category,componentwise_nonpositive,818,872.060598912349,1457.1717347626,1638.68742078687,2011.27847777177,4027.36020006469,1717.49682694651,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
normal_sign_category,componentwise_positive,806,1486.82396505053,2638.516417292,3155.5305801226,3296.21845573947,4835.71357215783,2986.53025275817,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
normal_sign_category,mixed_sign,65,1304.09478594157,3258.16328656008,4697.16677973545,5831.32390500051,7148.88474391187,4530.86879659461,0,0,0,0,DESCRIPTIVE_HEURISTIC_NOT_BLOCKER
