group,metric,count,min,q1,median,q3,max,mean
VALIDATION_ALL_ATTEMPTS,primary_replay_voltage_difference_pu,65622,1.40998324127e-14,1.36113342819e-13,2.56794585596e-13,5.60773649738e-13,1.5014656185e-12,3.88862696441316e-13
VALIDATION_ALL_ATTEMPTS,maximum_residual,65622,9.99200722163e-16,8.13882267329e-15,1.33226762955e-14,2.16493489802e-14,5.71764857682e-14,1.6010844976105e-14
VALIDATION_ALL_ATTEMPTS,primary_iterations,65622,19,22,23,25,27,23.2467008015605
VALIDATION_ALL_ATTEMPTS,replay_iterations,65622,20,24,25,27,30,25.4991618664472
VALIDATION_ALL_ATTEMPTS,runtime_ms,65622,0.0394,0.0519,0.066,0.1055,314.7601,0.118878886653866
VALIDATION_SUBSTANTIVE_ATTEMPTS,primary_replay_voltage_difference_pu,65494,1.40998324127e-14,1.36335387424e-13,2.57127652503e-13,5.61217738948e-13,1.5014656185e-12,3.89064470695265e-13
VALIDATION_SUBSTANTIVE_ATTEMPTS,maximum_residual,65494,9.99200722163e-16,8.13882267329e-15,1.33226762955e-14,2.16493489802e-14,5.71764857682e-14,1.60167045226919e-14
VALIDATION_SUBSTANTIVE_ATTEMPTS,primary_iterations,65494,19,22,23,25,27,23.2477478853025
VALIDATION_SUBSTANTIVE_ATTEMPTS,replay_iterations,65494,20,24,25,27,30,25.5003511772071
VALIDATION_SUBSTANTIVE_ATTEMPTS,runtime_ms,65494,0.0394,0.0519,0.066,0.1055,314.7601,0.116525228265185
VALIDATION_ANGULAR_BOUNDARY_ATTEMPTS,primary_replay_voltage_difference_pu,23040,6.2172489379e-14,1.78745906965e-13,4.60964599824e-13,8.0538353763875e-13,1.49313894582e-12,5.18682198850165e-13
VALIDATION_ANGULAR_BOUNDARY_ATTEMPTS,maximum_residual,23040,4.23670474328e-15,1.13242748512e-14,1.76525460915e-14,2.62012633812e-14,5.71764857682e-14,1.98303123022023e-14
VALIDATION_ANGULAR_BOUNDARY_ATTEMPTS,primary_iterations,23040,22,23,25,25,27,24.2108072916667
VALIDATION_ANGULAR_BOUNDARY_ATTEMPTS,replay_iterations,23040,24,25,27,28,30,26.5588975694444
VALIDATION_ANGULAR_BOUNDARY_ATTEMPTS,runtime_ms,23040,0.0417,0.053,0.0672,0.1113,314.7601,0.114562196180556
PRODUCTION_ALL_ATTEMPTS,primary_replay_voltage_difference_pu,87086,1.28785870857e-14,1.5967782651675e-13,2.98594482473e-13,6.32049967919e-13,1.20448429008e-10,5.19369402558158e-13
PRODUCTION_ALL_ATTEMPTS,maximum_residual,87086,8.881784197e-16,8.54871728961e-15,1.48706648309e-14,2.51984238711e-14,2.42139641671e-13,1.94142267312548e-14
PRODUCTION_ALL_ATTEMPTS,primary_iterations,87372,18,22,24,25,2000,30.5526141097835
PRODUCTION_ALL_ATTEMPTS,replay_iterations,87372,20,24,26,28,4000,39.417433502724
PRODUCTION_ALL_ATTEMPTS,runtime_ms,87372,0.1065,0.1273,0.1377,0.1551,364.2478,0.221698082909857
PRODUCTION_OFFICIAL_SAFE_ENDPOINT_ATTEMPTS,primary_replay_voltage_difference_pu,1689,6.26165785889e-14,1.87405646557e-13,4.53748150164e-13,7.57616192004e-13,1.48603351846e-12,5.1393847404259e-13
PRODUCTION_OFFICIAL_SAFE_ENDPOINT_ATTEMPTS,maximum_residual,1689,4.34795903594e-15,1.15463194561e-14,1.82076576039e-14,2.67563748935e-14,5.71764857682e-14,2.02784219789603e-14
PRODUCTION_OFFICIAL_SAFE_ENDPOINT_ATTEMPTS,primary_iterations,1689,22,23,25,26,27,24.2930728241563
PRODUCTION_OFFICIAL_SAFE_ENDPOINT_ATTEMPTS,replay_iterations,1689,24,25,27,28,30,26.6382474837182
PRODUCTION_OFFICIAL_SAFE_ENDPOINT_ATTEMPTS,runtime_ms,1689,0.1192,0.1311,0.1385,0.1481,8.7668,0.154360568383659
