check_id,status,detail
SOURCE_BRANCH,PASS,codex/dso-vpp-ac-map-pilot
SOURCE_COMMIT,PASS,07a31791134aec7e941e7674953e887edd697d3d
ZERO_AC_SCOPE,PASS,artifact-only; no solver import or execution
LOCKED_CLASSIFICATION_PRESERVED,PASS,MAIN_COUPLED_DOE_GEOMETRIC_CANDIDATE_FALSIFIED_BY_AC_COUNTEREXAMPLE
FIT_ROW_TOTAL,PASS,observed=1817
SUFFICIENT_FIT_COUNT,PASS,observed=1776
LOW_SAMPLE_TRUE_SET_RECONSTRUCTED,PASS,observed_unique_edges=41; user_prompt_expected_44_is_not_confirmed_by_committed_fit_rows
LOW_SAMPLE_ROWS_ONE_CHANNEL_PER_EDGE,PASS,"rows=41,unique_edges=41"
ALL_FAILURES_MAPPED,PASS,"total=9420,unmapped=0"
ALL_FAILURES_VMAX,PASS,failing_edges=655
ENRICHMENT_COVERS_TRUE_LOW_SAMPLE_SET,PASS,"edges=41,new_points=130"
ENRICHMENT_MINIMUM_INTERIOR_COUNT,PASS,minimum=3
ENRICHMENT_MAXIMUM_GAP,PASS,maximum=0.25
FAILURE_EDGE_COUNT_NONZERO,PASS,exact_failing_edges=655
