guard_relation,margin_channel,endpoint_status_combination,fit_count,endpoint_margin_count,endpoint_margin_min,endpoint_margin_q1,endpoint_margin_median,endpoint_margin_q3,endpoint_margin_max,predicted_midpoint_min,predicted_midpoint_q1,predicted_midpoint_median,predicted_midpoint_q3,predicted_midpoint_max,predicted_midpoint_negative_count
ADJACENT_TO_GUARD_LIMITED_EDGE,VMAX_MARGIN,CONVEX-REFLEX,32,64,3.78700000247534e-08,1.80308499997395e-06,4.35132499998492e-06,6.83708000009942e-06,9.55611999997608e-06,-0.000142436171381289,-9.1094144340714e-05,-8.25613368026235e-05,-6.22144669179337e-05,-3.83435038044e-05,32
ADJACENT_TO_GUARD_LIMITED_EDGE,VMAX_MARGIN,REFLEX-CONVEX,32,64,1.30199999670566e-08,2.93357250003012e-06,4.60189500006703e-06,5.94187250008149e-06,9.4978600000406e-06,-0.000105903021995699,-6.01851997488659e-05,-5.57116608653961e-05,-5.0757674244075e-05,-3.18834794316469e-05,32
ADJACENT_TO_GUARD_LIMITED_EDGE,VMIN_MARGIN,CONVEX-CONVEX,64,128,1.82989999819583e-08,3.09175874993461e-06,4.99781099994046e-06,6.63580774998285e-06,9.99851100003113e-06,2.31286155614946e-05,3.31152643327969e-05,3.71778820656077e-05,4.49077098188007e-05,5.24758491346358e-05,0
CROSSES_GUARD_LIMITED_RAY,VMAX_MARGIN,CONVEX-CONVEX,64,128,1.30199999670566e-08,4.08732750001306e-06,0.00703530049499999,0.02233153143,0.0280188537400001,0.00687077818844062,0.00986952587163958,0.0110192562324133,0.0121530071765434,0.013670445726903,0
CROSSES_GUARD_LIMITED_RAY,VMIN_MARGIN,CONVEX-CONVEX,64,128,1.82989999819583e-08,4.53494124993958e-06,0.010477702802,0.0263128024465,0.044389460019,0.010646426254073,0.0121336070283358,0.0134177697581034,0.017837222027565,0.0228880267288427,0
NONE,VMAX_MARGIN,CONVEX-CONVEX,64,128,2.26530000091429e-07,4.65423000001186e-06,0.02500498994,0.05,0.05,2.75031254792769e-05,0.000344638942880276,0.0254726053728001,0.05,0.05,0
NONE,VMAX_MARGIN,CONVEX-REFLEX,34,68,2.26530000091429e-07,2.11891000001518e-06,4.57985500001979e-06,5.74099250000293e-06,9.97987999995509e-06,-8.52135337577916e-06,-5.44893930779089e-07,1.53151523676015e-06,2.79157991883038e-06,5.06401347848333e-06,11
NONE,VMAX_MARGIN,REFLEX-CONVEX,36,72,2.31100001357731e-08,3.3384800000591e-06,5.0071000000651e-06,7.30598249998327e-06,9.97142000014328e-06,-1.44547608742895e-05,-1.14458389141564e-05,-8.70393125372017e-06,-3.1730683477324e-06,3.15833054049048e-06,29
NONE,VMAX_MARGIN,REFLEX-REFLEX,630,1260,2.31100001357731e-08,2.86847999997342e-06,4.67742999998854e-06,6.85280000012334e-06,9.97423000015374e-06,-4.35831962476448e-05,-1.05755081371513e-05,-6.21325129924564e-06,-2.16244147430299e-06,6.87744269522333e-06,545
NONE,VMIN_MARGIN,CONVEX-CONVEX,754,1508,1.39349999317417e-08,3.13170199994772e-06,4.98309449997736e-06,7.36412350002546e-06,0.1,3.09561207224787e-06,1.75121971232797e-05,2.55451056244828e-05,3.29767004183651e-05,0.1,0
NONE,VMIN_MARGIN,CONVEX-REFLEX,2,4,4.42712999992878e-06,5.69384925000471e-06,6.97578449998515e-06,7.8941894999518e-06,8.07031799998637e-06,2.63557146159641e-05,2.85509992842832e-05,3.07462839526023e-05,3.29415686209213e-05,3.51368532892404e-05,0
