timestamp,edge_id,boundary_class,guard_relation,endpoint_status_combination,failure_count,direct_angular_failure_count,cell_edge_failure_count,vmax_failure_count
2010-07-01 07:30:00,E0000,VMAX13,NONE,REFLEX-REFLEX,17,14,3,17
2010-07-01 07:30:00,E0001,VMAX13,NONE,REFLEX-REFLEX,21,17,4,21
2010-07-01 07:30:00,E0002,VMAX13,NONE,REFLEX-REFLEX,21,17,4,21
2010-07-01 07:30:00,E0003,VMAX13,NONE,REFLEX-REFLEX,21,17,4,21
2010-07-01 07:30:00,E0004,VMAX13,NONE,REFLEX-CONVEX,22,18,4,22
2010-07-01 07:30:00,E0007,VMAX30,NONE,REFLEX-REFLEX,15,12,3,15
2010-07-01 07:30:00,E0008,VMAX30,NONE,REFLEX-REFLEX,10,8,2,10
2010-07-01 07:30:00,E0009,VMAX30,NONE,REFLEX-REFLEX,17,14,3,17
2010-07-01 07:30:00,E0010,VMAX30,NONE,REFLEX-REFLEX,20,16,4,20
2010-07-01 07:30:00,E0014,VMAX30,NONE,REFLEX-REFLEX,11,7,4,11
2010-07-01 07:30:00,E0015,VMAX30,NONE,REFLEX-REFLEX,12,8,4,12
2010-07-01 07:30:00,E0016,VMAX30,NONE,REFLEX-REFLEX,12,8,4,12
2010-07-01 07:30:00,E0017,VMAX30,ADJACENT_TO_GUARD_LIMITED_EDGE,REFLEX-CONVEX,13,9,4,13
2010-07-01 07:30:00,E0044,VMAX13,ADJACENT_TO_GUARD_LIMITED_EDGE,CONVEX-REFLEX,13,9,4,13
2010-07-01 07:30:00,E0045,VMAX13,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-01 07:30:00,E0046,VMAX13,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-01 07:30:00,E0047,VMAX13,NONE,REFLEX-REFLEX,9,6,3,9
2010-07-01 07:30:00,E0049,VMAX13,NONE,CONVEX-REFLEX,13,9,4,13
2010-07-01 07:30:00,E0050,VMAX13,NONE,REFLEX-REFLEX,21,17,4,21
2010-07-02 17:30:00,E0000,VMAX13,NONE,REFLEX-REFLEX,17,14,3,17
2010-07-02 17:30:00,E0001,VMAX13,NONE,REFLEX-REFLEX,10,8,2,10
2010-07-02 17:30:00,E0003,VMAX13,NONE,REFLEX-REFLEX,6,5,1,6
2010-07-02 17:30:00,E0004,VMAX13,NONE,REFLEX-REFLEX,17,13,4,17
2010-07-02 17:30:00,E0007,VMAX30,NONE,CONVEX-REFLEX,14,11,3,14
2010-07-02 17:30:00,E0008,VMAX30,NONE,REFLEX-REFLEX,22,18,4,22
2010-07-02 17:30:00,E0009,VMAX30,NONE,REFLEX-REFLEX,19,15,4,19
2010-07-02 17:30:00,E0010,VMAX30,NONE,REFLEX-REFLEX,18,14,4,18
2010-07-02 17:30:00,E0016,VMAX30,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-02 17:30:00,E0017,VMAX30,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-02 17:30:00,E0018,VMAX30,ADJACENT_TO_GUARD_LIMITED_EDGE,REFLEX-CONVEX,13,9,4,13
2010-07-02 17:30:00,E0045,VMAX13,ADJACENT_TO_GUARD_LIMITED_EDGE,CONVEX-REFLEX,13,9,4,13
2010-07-02 17:30:00,E0046,VMAX13,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-02 17:30:00,E0048,VMAX13,NONE,REFLEX-REFLEX,7,3,4,7
2010-07-02 17:30:00,E0049,VMAX13,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-02 17:30:00,E0050,VMAX13,NONE,REFLEX-REFLEX,13,9,4,13
2010-07-02 17:30:00,E0051,VMAX13,NONE,REFLEX-REFLEX,9,6,3,9
2010-07-02 17:30:00,E0052,VMAX13,NONE,REFLEX-REFLEX,18,14,4,18
2010-07-02 18:00:00,E0000,VMAX13,NONE,REFLEX-REFLEX,16,13,3,16
2010-07-02 18:00:00,E0001,VMAX13,NONE,REFLEX-REFLEX,16,13,3,16
2010-07-02 18:00:00,E0002,VMAX13,NONE,REFLEX-REFLEX,19,15,4,19
2010-07-02 18:00:00,E0003,VMAX13,NONE,REFLEX-REFLEX,18,14,4,18
2010-07-02 18:00:00,E0004,VMAX13,NONE,REFLEX-REFLEX,19,15,4,19
2010-07-02 18:00:00,E0007,VMAX30,NONE,CONVEX-REFLEX,21,17,4,21
2010-07-02 18:00:00,E0008,VMAX30,NONE,REFLEX-REFLEX,22,18,4,22
2010-07-02 18:00:00,E0009,VMAX30,NONE,REFLEX-REFLEX,22,18,4,22
