n_interior,fit_count,fraction_of_1776
3,11,0.00619369369369369
4,20,0.0112612612612613
5,19,0.0106981981981982
6,9,0.00506756756756757
7,13,0.00731981981981982
8,16,0.00900900900900901
9,510,0.287162162162162
10,312,0.175675675675676
11,92,0.0518018018018018
12,9,0.00506756756756757
13,6,0.00337837837837838
14,13,0.00731981981981982
15,15,0.00844594594594595
16,8,0.0045045045045045
17,12,0.00675675675675676
18,11,0.00619369369369369
19,434,0.244369369369369
20,198,0.111486486486486
21,50,0.0281531531531532
29,8,0.0045045045045045
30,8,0.0045045045045045
31,2,0.00112612612612613
