enrichment_point_id,timestamp,edge_id,local_addition_order,t,p13_abs_kw,p30_abs_kw,selection_rule,calibration_role,ac_evaluated
LS_ENRICH_0001,2010-07-01 07:30:00,E0012,1,0.300710719248006,19.0180566397311,2900.40996579377,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0002,2010-07-01 07:30:00,E0012,2,0.800710719242482,5.41992410503132,2906.8200699187,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0003,2010-07-01 07:30:00,E0012,3,0.150355359629526,23.1071608545653,2898.48237877195,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0004,2010-07-01 07:30:00,E0012,4,0.451066078866485,14.9289524248969,2902.33755281558,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0005,2010-07-01 07:30:00,E0048,1,0.5,2047.095114505,-0.0504673887755,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0006,2010-07-01 07:30:00,E0048,2,0.25,2047.0489217575,-0.07570108316325,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0007,2010-07-01 07:30:00,E0048,3,0.75,2047.1413072525,-0.02523369438775,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0008,2010-07-02 17:30:00,E0015,1,0.744300454365614,-33.909304742647,3555.31856521355,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0009,2010-07-02 17:30:00,E0015,2,0.244300454365614,-11.1299926088469,3543.97834291855,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0010,2010-07-02 17:30:00,E0015,3,0.61645068154842,-28.0846449801704,3552.41887552533,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0011,2010-07-02 17:30:00,E0015,4,0.872150227182807,-39.7339645051235,3558.21825490178,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0012,2010-07-02 17:30:00,E0034,1,0.253748324251573,-23.186198754344,-1080.52624887932,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0013,2010-07-02 17:30:00,E0034,2,0.753748324244673,-7.65109209560834,-1087.29256609423,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0014,2010-07-02 17:30:00,E0034,3,0.126874162132686,-27.1282060359076,-1078.80930722475,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0015,2010-07-02 17:30:00,E0034,4,0.38062248637046,-19.2441914727803,-1082.24319053389,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0016,2010-07-02 18:00:00,E0048,1,0.346970682955542,2419.02339573731,25.5363271632528,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0017,2010-07-02 18:00:00,E0048,2,0.783944907741237,2407.95441437832,57.6967295090211,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0018,2011-01-21 18:00:00,E0011,1,0.5,-3.39738050961,2655.09024838,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0019,2011-01-21 18:00:00,E0011,2,0.25,-1.698690254805,2654.26387419,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0020,2011-01-21 18:00:00,E0011,3,0.75,-5.096070764415,2655.91662257,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0021,2011-01-21 18:00:00,E0027,1,0.717840196529518,-1310.26944958613,-24.3104115133297,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0022,2011-01-21 18:00:00,E0027,2,0.217840196529518,-1315.08810591613,-7.3773868437297,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
LS_ENRICH_0023,2011-01-21 18:00:00,E0027,3,0.858920098264759,-1308.90981846306,-29.0882304262649,ITERATED_LARGEST_T_GAP_MIDPOINT_TIE_LOWEST_LEFT_ENDPOINT,LOW_SAMPLE_ENRICHMENT_BEFORE_FUTURE_AC_CALIBRATION,False
