guard_relation,margin_channel,endpoint_status_combination,count,min,q1,median,q3,max,mean,negative_count,zero_count,positive_count,negative_fraction,positive_fraction
ADJACENT_TO_GUARD_LIMITED_EDGE,VMAX_MARGIN,CONVEX-REFLEX,32,-0.000579049105524955,-0.000385509112789675,-0.000346990009502781,-0.000264174478666422,-0.000179396086482935,-0.00033630490079977,32,0,0,1,0
ADJACENT_TO_GUARD_LIMITED_EDGE,VMAX_MARGIN,REFLEX-CONVEX,32,-0.000446489007982931,-0.000256735804437724,-0.000242418141604701,-0.000217381273903905,-0.000154759179625063,-0.000248808541132536,32,0,0,1,0
ADJACENT_TO_GUARD_LIMITED_EDGE,VMIN_MARGIN,CONVEX-CONVEX,64,7.26189522741206e-05,0.000118961475479439,0.000124861837215309,0.000161101946258276,0.000178374086180455,0.000131714895156059,0,0,64,0,1
CROSSES_GUARD_LIMITED_RAY,VMAX_MARGIN,CONVEX-CONVEX,64,-0.00137010050112312,-0.000743625384600808,-0.000659359912557248,-0.000605982425834883,-0.000573955862450315,-0.000745357556981927,64,0,0,1,0
CROSSES_GUARD_LIMITED_RAY,VMIN_MARGIN,CONVEX-CONVEX,64,0.000688558140292146,0.000818669206060855,0.000951432539620808,0.00166449305285203,0.00277038241337078,0.00128116036220771,0,0,64,0,1
NONE,VMAX_MARGIN,CONVEX-CONVEX,64,-4.37613137042921e-18,0,4.32476109584192e-05,0.00130612016488904,0.00376101268240057,0.000855553161590972,6,20,38,0.09375,0.59375
NONE,VMAX_MARGIN,CONVEX-REFLEX,34,-5.13542535033119e-05,-1.19772920273441e-05,-1.1542889503005e-05,-1.00187147757614e-05,-5.22690021519345e-06,-1.39179172547678e-05,34,0,0,1,0
NONE,VMAX_MARGIN,REFLEX-CONVEX,36,-6.83359960848928e-05,-6.53951706603647e-05,-5.5315775541861e-05,-3.70572596755049e-05,-9.6440378383049e-06,-4.79751893267767e-05,36,0,0,1,0
NONE,VMAX_MARGIN,REFLEX-REFLEX,630,-0.000179592571771418,-6.14597918946861e-05,-4.34518495499795e-05,-2.94702862698177e-05,-1.60828914060929e-06,-5.12488702132863e-05,630,0,0,1,0
NONE,VMIN_MARGIN,CONVEX-CONVEX,754,0,4.53494910166629e-05,7.8138051473164e-05,0.000104861391635283,0.00626479516293093,0.000232135274014415,0,2,752,0,0.997347480106101
NONE,VMIN_MARGIN,CONVEX-REFLEX,2,8.04279624640263e-05,8.8482040637275e-05,9.65361188105237e-05,0.000104590196983772,0.000112644275157021,9.65361188105237e-05,0,0,2,0,1
