timestamp,polygon_vertex_count,initial_triangle_count,nondegenerate_triangle_count,degenerate_triangle_count,polygon_area_kw2,summed_triangle_area_kw2,signed_area_error_kw2,relative_area_error,all_triangles_contain_center_as_vertex,no_gap_verified,no_positive_area_overlap_basis,exact_partition_verified,ac_certification_status
2010-07-01 07:30:00,51,51,51,0,15800531.3311156,15800531.3311156,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-07-02 17:30:00,53,53,53,0,16209310.0011413,16209310.0011413,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-07-02 18:00:00,53,53,53,0,16215120.5076153,16215120.5076153,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-07-03 00:00:00,53,53,53,0,16196171.0105219,16196171.0105219,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-11-26 18:00:00,53,53,53,0,16197634.6841407,16197634.6841407,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-12-21 11:30:00,53,53,53,0,16213946.378087,16213946.378087,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-12-21 12:00:00,53,53,53,0,16211564.6920277,16211564.6920277,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-01-21 18:00:00,53,53,53,0,16219020.1169545,16219020.1169545,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-02-05 11:30:00,53,53,53,0,16210397.6518577,16210397.6518577,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-02-05 17:30:00,54,54,54,0,16300472.5820802,16300472.5820802,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-02-05 18:00:00,54,54,54,0,16267083.2930647,16267083.2930647,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-02-06 00:00:00,51,51,51,0,15800888.0986017,15800888.0986017,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-03-04 18:00:00,53,53,53,0,16197615.4193951,16197615.4193951,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-03-08 11:30:00,53,53,53,0,16214321.4550102,16214321.4550102,-1.86264514923096e-09,-1.14876540125298e-16,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-03-08 12:30:00,53,53,53,0,16208908.5693266,16208908.5693266,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-05-11 17:30:00,53,53,53,0,16267237.2337561,16267237.2337561,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-05-11 18:00:00,53,53,53,0,16262490.8430058,16262490.8430058,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-05-16 07:30:00,53,53,53,0,16226390.0806935,16226390.0806935,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-09-11 00:00:00,53,53,53,0,16204370.4105374,16204370.4105374,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-09-30 05:30:00,52,52,52,0,15990355.8233353,15990355.8233353,-1.86264514923096e-09,-1.16485534769197e-16,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-09-30 11:30:00,53,53,53,0,16206655.563008,16206655.563008,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-11-14 17:30:00,53,53,53,0,16265889.1760166,16265889.1760166,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-11-14 19:30:00,53,53,53,0,16247865.9112606,16247865.9112606,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-12-15 05:30:00,52,52,52,0,15989694.7117428,15989694.7117428,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2012-08-04 03:30:00,52,52,52,0,15989260.689368,15989260.689368,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2012-08-05 23:30:00,53,53,53,0,16205190.0455788,16205190.0455788,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2012-08-24 12:00:00,53,53,53,0,16214342.3706549,16214342.3706549,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2012-08-31 11:30:00,53,53,53,0,16218622.043489,16218622.043489,0,0,true,true,ORDERED_CENTER_FAN_WITH_DISTINCT_CCW_BOUNDARY_RAYS,true,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
