timestamp,pocket_index,left_hull_vertex_index,right_hull_vertex_index,interior_polygon_vertex_count,interior_vertex_indices,interior_primary_classes,interior_binding_families,family_area_attribution,class_area_attribution,polygon_vs_hull_pocket_area_kw2
2010-07-01 07:30:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,79921.5197198503
2010-07-01 07:30:00,28,44,5,11,45;46;47;48;49;50;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,120507.643541784
2010-07-02 17:30:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,92414.4623189711
2010-07-02 17:30:00,28,45,6,13,46;47;48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,153136.239047652
2010-07-02 18:00:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,98675.1314428148
2010-07-02 18:00:00,28,45,6,13,46;47;48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,167201.845338939
2010-07-03 00:00:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,110964.424324403
2010-07-03 00:00:00,30,46,5,11,47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,184592.944463654
2010-11-26 18:00:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,103511.738651925
2010-11-26 18:00:00,30,46,5,11,47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,169696.178608462
2010-12-21 11:30:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,122895.721670732
2010-12-21 11:30:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,210442.440749415
2010-12-21 12:00:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,122075.94260332
2010-12-21 12:00:00,30,47,6,11,48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,208629.160163726
2011-01-21 18:00:00,1,6,18,11,7;8;9;10;11;12;13;14;15;16;17,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,92864.5480204962
2011-01-21 18:00:00,19,35,37,1,36,VMIN_BUS_33,VMIN,VMIN_ONLY,VMIN_BUS_33_ONLY,11.3295191869593
2011-01-21 18:00:00,29,46,5,11,47;48;49;50;51;52;0;1;2;3;4,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,146584.436213678
2011-02-05 11:30:00,1,7,19,11,8;9;10;11;12;13;14;15;16;17;18,VMAX_BUS_30,VMAX,VMAX_ONLY,VMAX_BUS_30_ONLY,87962.7014873913
2011-02-05 11:30:00,28,45,6,13,46;47;48;49;50;51;52;0;1;2;3;4;5,VMAX_BUS_13,VMAX,VMAX_ONLY,VMAX_BUS_13_ONLY,141676.603706443
