timestamp,initial_fan_triangle_count,merged_convex_cell_count,cell_count_reduction_ratio,minimum_vertices_per_cell,median_vertices_per_cell,maximum_vertices_per_cell,all_cells_contain_production_center,all_cells_convex,summed_cell_area_kw2,polygon_area_kw2,signed_area_error_kw2,maximum_pairwise_overlap_area_kw2,exact_partition_verified,total_per_cell_irredundant_halfspaces,unique_geometric_facets_after_shared_radial_boundary_deduplication,conceptual_cell_selection_disjunction_alternatives,chosen_start_triangle_index,optimal_fixed_start_count,chosen_start_optimal_path_count,multiple_minimum_paths_detected,merge_order_ambiguity_handling,partition_method,vmax_related_radial_cut_count,vmin_related_radial_cut_count,vmax_vmin_transition_radial_cut_count,ac_certification_status
2010-07-01 07:30:00,51,21,0.588235294117647,3,3,26,true,true,15800531.3311156,15800531.3311156,1.86264514923096e-09,6.98491930961609e-10,true,93,72,21,0,42,22,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,20,1,0,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-07-02 17:30:00,53,25,0.528301886792453,3,3,27,true,true,16209310.0011413,16209310.0011413,0,2.57592182606459e-06,true,102,79,25,0,49,25,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,24,0,1,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-07-02 18:00:00,53,25,0.528301886792453,3,3,27,true,true,16215120.5076153,16215120.5076153,0,2.3283064365387e-10,true,102,79,25,0,49,25,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,24,0,1,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-07-03 00:00:00,53,23,0.566037735849057,3,3,27,true,true,16196171.0105219,16196171.0105219,0,2.18278728425503e-10,true,98,77,23,0,45,23,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,22,1,0,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-11-26 18:00:00,53,23,0.566037735849057,3,3,27,true,true,16197634.6841407,16197634.6841407,0,4.07453626394272e-10,true,99,76,23,0,44,22,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,22,1,0,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-12-21 11:30:00,53,23,0.566037735849057,3,3,27,true,true,16213946.378087,16213946.378087,0,2.3283064365387e-10,true,98,77,23,0,45,23,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,22,1,0,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2010-12-21 12:00:00,53,23,0.566037735849057,3,3,27,true,true,16211564.6920277,16211564.6920277,0,2.61934474110603e-10,true,99,76,23,0,44,22,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,22,1,0,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-01-21 18:00:00,53,22,0.584905660377358,3,3,21,true,true,16219020.1169545,16219020.1169545,0,2.3283064365387e-10,true,97,75,22,0,22,1,false,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,21,1,0,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-02-05 11:30:00,53,24,0.547169811320755,3,3,27,true,true,16210397.6518577,16210397.6518577,0,7.15139321982861e-07,true,100,78,24,0,48,25,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,23,0,1,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
2011-02-05 17:30:00,54,28,0.481481481481482,3,3,26,true,true,16300472.5820802,16300472.5820802,0,5.82076609134674e-10,true,109,83,28,0,52,25,true,GREEDY_ORDER_NOT_USED;EXACT_MINIMUM_CELL_DP_WITH_FIXED_TIEBREAK,EXACT_CYCLIC_INTERVAL_DYNAMIC_PROGRAM_MINIMUM_CELL_COUNT;MIN_START_THEN_LEXICOGRAPHIC_TIEBREAK,27,0,1,NOT_AC_CERTIFIED_GEOMETRIC_PARTITION
