timestamp,alpha_outward_exclusion_sup,outward_endpoint_count,limiting_outward_endpoint_count_at_gauge_tolerance,gauge_comparison_tolerance,strict_exclusion_interpretation,limiting_endpoint_id,limiting_primary_class,limiting_constraint_id,limiting_constraint_category,limiting_p13_abs_kw,limiting_p30_abs_kw,center_p13_abs_kw,center_p30_abs_kw,centered_p13_kw,centered_p30_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,normalized_x,normalized_y,normalized_ray_angle_deg,limiting_alpha1_raw_slack_kw,limiting_alpha1_perpendicular_distance_kw,coordinate_semantics,units,ray_angle_convention
2010-07-01 07:30:00,0.921013182665084,51,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-07-01 07:30:00|RAY|145.000000|ADAPTIVE,VMIN_BUS_18,VMIN_BUS_18,PHYSICAL_CANDIDATE_FACET,-1902.40505482,2986.63684945,452.1875,614.6875,-2354.59255482,2371.94934945,1595,1595,2294.6875,2294.6875,-1.47623357668966,1.03366987855645,144.999999999998,134.884426495406,134.884426495406,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 17:30:00,0.902865045732686,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-07-02 17:30:00|RAY|20.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1923.65612534,1767.0601751,889.53125,1223.90625,1034.12487534,543.1539251,1603.90625,1603.90625,2314.53125,2314.53125,0.644753940786751,0.234671242870452,19.9999999998619,123.363208445491,123.363208445491,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-02 18:00:00,0.898109767619933,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-07-02 18:00:00|RAY|20.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1883.650805,1690.22847265,825.234375,1134.53125,1058.41643,555.69722265,1602.578125,1602.578125,2311.71875,2311.71875,0.660446073416858,0.240382712062183,20.0000000000349,133.136382121385,133.136382121385,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-07-03 00:00:00,0.901196779445671,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-07-03 00:00:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1303.24447894,1098.36308289,59.6875,68.28125,1243.55697894,1030.08183289,1586.875,1586.875,2276.71875,2276.71875,0.783651503073651,0.45244140625187,30.0000000000791,163.060889012197,163.060889012197,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-11-26 18:00:00,0.905515366889146,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-11-26 18:00:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1356.93384242,1189.26843262,140.78125,181.25,1216.15259242,1008.01843262,1588.59375,1588.59375,2280.625,2280.625,0.765552925296351,0.441992187501233,30.0000000001392,151.789155789385,151.789155789385,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 11:30:00,0.8942563414279,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-12-21 11:30:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1216.6130162,951.902275085,-71.015625,-113.671875,1287.6286412,1065.574150085,1584.296875,1584.296875,2270.859375,2270.859375,0.812744543979486,0.469238281249802,30.0000000000447,182.067879598952,182.067879598952,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2010-12-21 12:00:00,0.894707981883652,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2010-12-21 12:00:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1222.4302185,961.845825195,-62.109375,-101.25,1284.5395935,1063.095825195,1584.453125,1584.453125,2271.25,2271.25,0.810714796942951,0.468066406249862,29.9999999999383,180.766679209624,180.766679209624,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-01-21 18:00:00,0.912447598892942,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-01-21 18:00:00|RAY|30.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1444.87971617,1337.99417114,274.21875,366.875,1170.66096617,971.11917114,1591.40625,1591.40625,2286.5625,2286.5625,0.735614156454394,0.424707031248872,30.0000000000134,134.384927494832,134.384927494832,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 11:30:00,0.906783206321022,53,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-02-05 11:30:00|RAY|20.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,1956.7567621,1831.15282796,942.890625,1298.4375,1013.8661371,532.71532796,1604.921875,1604.921875,2316.875,2316.875,0.631723047017476,0.2299283854157,20.0000000001113,115.572289605545,115.572289605545,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
2011-02-05 17:30:00,0.871353212215512,54,1,1e-12,ALL_STORED_OUTWARD_EXCLUDED_FOR_EXACT_ALPHA_STRICTLY_BELOW_SUPREMUM;EQUALITY_PLACES_LIMITER_ON_BOUNDARY,2011-02-05 17:30:00|RAY|10.000000|BASE,VMAX_BUS_13,VMAX_BUS_13,PHYSICAL_CANDIDATE_FACET,2253.23350737,2057.23917657,1316.25,1818.125,936.98350737,239.11417657,1612.5,1612.5,2333.75,2333.75,0.581075043330233,0.10245920795715,10.0000000001616,142.644648316006,142.644648316006,ABSOLUTE_PHYSICAL_P_PCC_P13_P30,kW for physical coordinates/slack/distance; dimensionless alpha and normalized coordinates,ATAN2_NORMALIZED_P30_P13_MOD_360_CCW_FROM_POSITIVE_P13
