timestamp,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,alpha_outward_exclusion_sup,alpha_squared_geometric_area_retention,alpha1_guard_capped_candidate_area_kw2,area_at_sup_by_exact_scaling_kw2,verification_alpha_values,maximum_absolute_alpha_squared_identity_error_kw2,maximum_relative_alpha_squared_identity_error,identity,interpretation
2010-07-01 07:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,452.1875,614.6875,1595,1595,2294.6875,2294.6875,0.921013182665084,0.848265282642868,17475301.3324602,14823691.4240486,0.25;0.5;0.75;alpha_outward_exclusion_sup,3.72529029846191e-09,2.5130651953658e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2010-07-02 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,889.53125,1223.90625,1603.90625,1603.90625,2314.53125,2314.53125,0.902865045732686,0.815165290805885,17672182.7218911,14405749.9676651,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.10799670707755e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2010-07-02 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,825.234375,1134.53125,1602.578125,1602.578125,2311.71875,2311.71875,0.898109767619933,0.80660115469433,17740600.5652038,14309588.9008643,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2010-07-03 00:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,59.6875,68.28125,1586.875,1586.875,2276.71875,2276.71875,0.901196779445671,0.81215563528325,17784951.4873339,14444148.5736775,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,1.28954997916968e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2010-11-26 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,140.78125,181.25,1588.59375,1588.59375,2280.625,2280.625,0.905515366889146,0.819958079672385,17718837.97754,14528704.3620898,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,1.86884103708482e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2010-12-21 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-71.015625,-113.671875,1584.296875,1584.296875,2270.859375,2270.859375,0.8942563414279,0.799694404184013,17900186.3999423,14314678.8978846,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.08114609268757e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2010-12-21 12:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-62.109375,-101.25,1584.453125,1584.453125,2271.25,2271.25,0.894707981883652,0.800502372846317,17890728.2271214,14321570.3977592,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-01-21 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,274.21875,366.875,1591.40625,1591.40625,2286.5625,2286.5625,0.912447598892942,0.832560620725496,17614426.7357186,14665078.0568136,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-02-05 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,942.890625,1298.4375,1604.921875,1604.921875,2316.875,2316.875,0.906783206321022,0.822255783265833,17617411.5777601,14486018.5559877,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.11455030270432e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-02-05 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,1316.25,1818.125,1612.5,1612.5,2333.75,2333.75,0.871353212215512,0.759256420438291,17944111.6493449,13624181.9788267,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,4.15210334315759e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-02-05 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,1366.015625,1887.34375,1613.515625,1613.515625,2336.09375,2336.09375,0.877482551400515,0.769975628012358,17861616.3040622,13753009.2310361,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.08564008712621e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-02-06 00:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,461.953125,628.59375,1595.234375,1595.234375,2295.15625,2295.15625,0.920774509861555,0.847825698010786,17470220.1848936,14811701.6226596,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-03-04 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,140.703125,181.09375,1588.671875,1588.671875,2280.46875,2280.46875,0.905639630544916,0.820183140413533,17717698.4411894,14531757.5483947,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-03-08 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-74.53125,-118.75,1584.21875,1584.21875,2270.625,2270.625,0.894094729197158,0.79940538477814,17902322.6981922,14311213.1649708,0.25;0.5;0.75;alpha_outward_exclusion_sup,3.72529029846191e-09,2.60305695647118e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-03-08 12:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-47.03125,-80.390625,1584.84375,1584.84375,2271.953125,2271.953125,0.895521667262226,0.801959056536117,17877702.4430938,14337185.3842969,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-05-11 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,638.359375,874.0625,1598.828125,1598.828125,2303.125,2303.125,0.88403984386504,0.781526445540924,17956719.6091838,14033651.2497404,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.07459401245908e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-05-11 18:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,649.453125,889.765625,1598.984375,1598.984375,2303.671875,2303.671875,0.884876026095012,0.783005581557701,17941760.7399559,14048498.8023583,0.25;0.5;0.75;alpha_outward_exclusion_sup,2.3283064365387e-10,2.07632369668478e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
