metric,metric_role,anchor_value,rank_ascending,rank_descending,percentile,median_across_32,minimum_across_32,maximum_across_32,sample_count,anchor_minus_median_absolute,anchor_minus_median_percent,full_range_absolute,full_range_percent_of_median,number_of_unique_values,unique_values,frequency_of_each_value,cardinality_classification
A13,ADDITIONAL_DESCRIPTIVE_DIMENSION,0.07841105354058722,29,4,0.9032258064516129,-0.06422024473934783,-0.8466082409335206,0.10863124629666206,32,0.14263129827993504,222.0970954857552,0.9552394872301827,1487.4429256805777,32,-0.846608240934;-0.816279069767;-0.58749939152;-0.554603019971;-0.51494174426;-0.430385310348;-0.406166023355;-0.400830686538;-0.39926704129;-0.289583231304;-0.283503134796;-0.18977278304;-0.172312223859;-0.136428395972;-0.0886200452444;-0.0885665109417;-0.039873978537;-0.0376132335565;0.01340429726;0.0162140850623;0.0222791798107;0.0296756383713;0.0391992505301;0.0448246954978;0.0470460597692;0.0474405759937;0.0577093814738;0.0652195362605;0.0784110535406;0.0785629688117;0.0840448107388;0.108631246297,-0.846608240934:1;-0.816279069767:1;-0.58749939152:1;-0.554603019971:1;-0.51494174426:1;-0.430385310348:1;-0.406166023355:1;-0.400830686538:1;-0.39926704129:1;-0.289583231304:1;-0.283503134796:1;-0.18977278304:1;-0.172312223859:1;-0.136428395972:1;-0.0886200452444:1;-0.0885665109417:1;-0.039873978537:1;-0.0376132335565:1;0.01340429726:1;0.0162140850623:1;0.0222791798107:1;0.0296756383713:1;0.0391992505301:1;0.0448246954978:1;0.0470460597692:1;0.0474405759937:1;0.0577093814738:1;0.0652195362605:1;0.0784110535406:1;0.0785629688117:1;0.0840448107388:1;0.108631246297:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
A30,ADDITIONAL_DESCRIPTIVE_DIMENSION,0.08279377324700372,29,4,0.9032258064516129,-0.05581448817859175,-0.8079058256972778,0.11221429310166511,32,0.13860826142559546,248.33742268151832,0.9201201187989428,1648.5327534578466,32,-0.807905825697;-0.779057311194;-0.560426220664;-0.528792277054;-0.490773910105;-0.409468297807;-0.386238003188;-0.381046062004;-0.379511533243;-0.273878412417;-0.267874165872;-0.177394570599;-0.160448271149;-0.125773901146;-0.0794738284461;-0.0794107571086;-0.0322182192486;-0.029991078169;0.019625365183;0.0222741647188;0.0281903190319;0.0353839276504;0.0445789763346;0.0500567654041;0.0522983759978;0.0527112579136;0.062605403545;0.0699531809419;0.082793773247;0.082931533269;0.0882535308302;0.112214293102,-0.807905825697:1;-0.779057311194:1;-0.560426220664:1;-0.528792277054:1;-0.490773910105:1;-0.409468297807:1;-0.386238003188:1;-0.381046062004:1;-0.379511533243:1;-0.273878412417:1;-0.267874165872:1;-0.177394570599:1;-0.160448271149:1;-0.125773901146:1;-0.0794738284461:1;-0.0794107571086:1;-0.0322182192486:1;-0.029991078169:1;0.019625365183:1;0.0222741647188:1;0.0281903190319:1;0.0353839276504:1;0.0445789763346:1;0.0500567654041:1;0.0522983759978:1;0.0527112579136:1;0.062605403545:1;0.0699531809419:1;0.082793773247:1;0.082931533269:1;0.0882535308302:1;0.112214293102:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
P13_axis_width_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,3166.40625,4,29,0.0967741935483871,3175.625,3164.375,3227.03125,32,-9.21875,-0.29029718559338713,62.65625,1.9730368037787838,30,3164.375;3166.09375;3166.25;3166.40625;3167.1875;3167.8125;3168.4375;3168.59375;3168.90625;3169.6875;3170;3170.46875;3170.625;3173.75;3174.0625;3177.1875;3177.34375;3180.46875;3182.8125;3183.90625;3190;3190.46875;3197.65625;3197.96875;3199.53125;3205.15625;3207.8125;3209.84375;3225;3227.03125,3164.375:1;3166.09375:1;3166.25:1;3166.40625:1;3167.1875:1;3167.8125:1;3168.4375:2;3168.59375:1;3168.90625:1;3169.6875:1;3170:1;3170.46875:1;3170.625:1;3173.75:1;3174.0625:1;3177.1875:1;3177.34375:1;3180.46875:1;3182.8125:1;3183.90625:1;3190:1;3190.46875:1;3197.65625:2;3197.96875:1;3199.53125:1;3205.15625:1;3207.8125:1;3209.84375:1;3225:1;3227.03125:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
P13_negative_magnitude_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,1707.34375,29,4,0.9032258064516129,1485.859375,247.5,1754.0625,32,221.484375,14.906146485093855,1506.5625,101.39334349860664,32,247.5;296.25;662.03125;714.375;777.34375;911.25;949.53125;957.96875;960.46875;1133.28125;1142.8125;1289.84375;1317.1875;1373.28125;1447.8125;1447.96875;1523.75;1527.1875;1606.5625;1610.9375;1620.3125;1631.875;1646.5625;1655.3125;1658.75;1659.375;1675.3125;1686.875;1707.34375;1707.5;1716.09375;1754.0625,247.5:1;296.25:1;662.03125:1;714.375:1;777.34375:1;911.25:1;949.53125:1;957.96875:1;960.46875:1;1133.28125:1;1142.8125:1;1289.84375:1;1317.1875:1;1373.28125:1;1447.8125:1;1447.96875:1;1523.75:1;1527.1875:1;1606.5625:1;1610.9375:1;1620.3125:1;1631.875:1;1646.5625:1;1655.3125:1;1658.75:1;1659.375:1;1675.3125:1;1686.875:1;1707.34375:1;1707.5:1;1716.09375:1;1754.0625:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
P13_positive_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,1459.0625,4,29,0.0967741935483871,1689.84375,1410.3125,2979.53125,32,-230.78125,-13.656957928802587,1569.21875,92.86176606564956,31,1410.3125;1450;1458.75;1459.0625;1480.3125;1492.5;1509.0625;1509.6875;1513.28125;1522.34375;1537.8125;1549.6875;1559.53125;1564.0625;1646.5625;1650.3125;1729.375;1807.1875;1865.625;1894.0625;2047.1875;2057.1875;2237.1875;2239.6875;2248.4375;2288.28125;2427.8125;2493.4375;2547.8125;2928.75;2979.53125,1410.3125:1;1450:1;1458.75:1;1459.0625:1;1480.3125:1;1492.5:1;1509.0625:1;1509.6875:1;1513.28125:1;1522.34375:1;1537.8125:1;1549.6875:1;1559.53125:1;1564.0625:1;1646.5625:1;1650.3125:1;1729.375:2;1807.1875:1;1865.625:1;1894.0625:1;2047.1875:1;2057.1875:1;2237.1875:1;2239.6875:1;2248.4375:1;2288.28125:1;2427.8125:1;2493.4375:1;2547.8125:1;2928.75:1;2979.53125:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
P30_axis_width_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,4536.875,3,30,0.06451612903225806,4557.421875,4532.34375,4672.1875,32,-20.546875,-0.45084426159252594,139.84375,3.0684837576069253,30,4532.34375;4535.9375;4536.875;4538.75;4539.84375;4541.25;4541.71875;4542.5;4543.90625;4545;4545.625;4546.09375;4553.4375;4553.90625;4560.9375;4561.25;4567.96875;4573.125;4575.78125;4589.375;4590.3125;4606.25;4606.5625;4607.34375;4610.78125;4623.4375;4629.0625;4633.75;4667.5;4672.1875,4532.34375:1;4535.9375:1;4536.875:2;4538.75:1;4539.84375:1;4541.25:2;4541.71875:1;4542.5:1;4543.90625:1;4545:1;4545.625:1;4546.09375:1;4553.4375:1;4553.90625:1;4560.9375:1;4561.25:1;4567.96875:1;4573.125:1;4575.78125:1;4589.375:1;4590.3125:1;4606.25:1;4606.5625:1;4607.34375:1;4610.78125:1;4623.4375:1;4629.0625:1;4633.75:1;4667.5:1;4672.1875:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
P30_negative_magnitude_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,2456.25,29,4,0.9032258064516129,2151.484375,448.75,2520.46875,32,304.765625,14.165365481680524,2071.71875,96.29253059297723,31,448.75;515.625;1018.4375;1090.625;1177.1875;1361.40625;1413.90625;1425.625;1429.0625;1666.5625;1680;1882.03125;1919.6875;1996.71875;2099.375;2203.59375;2208.4375;2317.65625;2323.4375;2336.5625;2352.34375;2372.5;2384.53125;2389.375;2390.3125;2412.03125;2428.125;2456.25;2456.5625;2468.125;2520.46875,448.75:1;515.625:1;1018.4375:1;1090.625:1;1177.1875:1;1361.40625:1;1413.90625:1;1425.625:1;1429.0625:1;1666.5625:1;1680:1;1882.03125:1;1919.6875:1;1996.71875:1;2099.375:2;2203.59375:1;2208.4375:1;2317.65625:1;2323.4375:1;2336.5625:1;2352.34375:1;2372.5:1;2384.53125:1;2389.375:1;2390.3125:1;2412.03125:1;2428.125:1;2456.25:1;2456.5625:1;2468.125:1;2520.46875:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
P30_positive_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,2080.625,4,29,0.0967741935483871,2405.9375,2011.875,4223.4375,32,-325.3125,-13.521236524223927,2211.5625,91.92102870502663,32,2011.875;2067.8125;2080.3125;2080.625;2110.625;2127.8125;2150.9375;2151.875;2157.1875;2170;2191.5625;2208.4375;2222.1875;2228.4375;2345;2350.3125;2461.5625;2461.875;2571.25;2653.4375;2693.75;2909.375;2923.75;3177.1875;3180.9375;3193.4375;3249.375;3446.25;3538.4375;3615.3125;4151.875;4223.4375,2011.875:1;2067.8125:1;2080.3125:1;2080.625:1;2110.625:1;2127.8125:1;2150.9375:1;2151.875:1;2157.1875:1;2170:1;2191.5625:1;2208.4375:1;2222.1875:1;2228.4375:1;2345:1;2350.3125:1;2461.5625:1;2461.875:1;2571.25:1;2653.4375:1;2693.75:1;2909.375:1;2923.75:1;3177.1875:1;3180.9375:1;3193.4375:1;3249.375:1;3446.25:1;3538.4375:1;3615.3125:1;4151.875:1;4223.4375:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
actual_evaluations,ADDITIONAL_DESCRIPTIVE_DIMENSION,2731.0,21,12,0.6451612903225806,2729.0,2709.0,2766.0,32,2.0,0.07328691828508611,57.0,2.088677171124954,21,2709;2710;2717;2719;2720;2722;2723;2725;2727;2728;2729;2730;2731;2732;2733;2736;2739;2742;2744;2763;2766,2709:1;2710:1;2717:1;2719:1;2720:1;2722:2;2723:1;2725:2;2727:1;2728:4;2729:3;2730:2;2731:1;2732:1;2733:1;2736:4;2739:1;2742:1;2744:1;2763:1;2766:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
center_P13_kw,ADDITIONAL_DESCRIPTIVE_DIMENSION,-124.140625,4,29,0.0967741935483871,101.9921875,-171.875,1366.015625,32,-226.1328125,-221.71581769436997,1537.890625,1507.8513979318268,32,-171.875;-133.046875;-124.375;-124.140625;-103.28125;-91.40625;-75.15625;-74.53125;-71.015625;-62.109375;-47.03125;-35.3125;-25.703125;-21.25;59.6875;63.28125;140.703125;140.78125;216.953125;274.21875;302.109375;452.1875;461.953125;638.359375;640.859375;649.453125;688.515625;825.234375;889.53125;942.890625;1316.25;1366.015625,-171.875:1;-133.046875:1;-124.375:1;-124.140625:1;-103.28125:1;-91.40625:1;-75.15625:1;-74.53125:1;-71.015625:1;-62.109375:1;-47.03125:1;-35.3125:1;-25.703125:1;-21.25:1;59.6875:1;63.28125:1;140.703125:1;140.78125:1;216.953125:1;274.21875:1;302.109375:1;452.1875:1;461.953125:1;638.359375:1;640.859375:1;649.453125:1;688.515625:1;825.234375:1;889.53125:1;942.890625:1;1316.25:1;1366.015625:1,CONTINUOUS_OR_HIGHER_CARDINALITY_METRIC
