timestamp,axis_direction,search_id,final_feasible_search_coordinate_kw,final_violating_search_coordinate_kw,final_feasible_signed_pcc_coordinate_kw,final_violating_signed_pcc_coordinate_kw,axis_bracket_width_kw,bisection_steps,binding_mechanism,binding_bus,resolution_classification
2012-10-15 13:00:00,P13+,P13_POSITIVE,1459.0625,1459.375,1459.0625,1459.375,0.3125,8,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-10-15 13:00:00,P13-,P13_NEGATIVE,1707.34375,1707.5,-1707.34375,-1707.5,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-10-15 13:00:00,P30+,P30_POSITIVE,2080.625,2080.9375,2080.625,2080.9375,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2012-10-15 13:00:00,P30-,P30_NEGATIVE,2456.25,2456.40625,-2456.25,-2456.40625,0.15625,10,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-12-15 05:30:00,P13+,P13_POSITIVE,1458.75,1459.0625,1458.75,1459.0625,0.3125,8,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-12-15 05:30:00,P13-,P13_NEGATIVE,1707.5,1707.8125,-1707.5,-1707.8125,0.3125,9,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-12-15 05:30:00,P30+,P30_POSITIVE,2080.3125,2080.625,2080.3125,2080.625,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-12-15 05:30:00,P30-,P30_NEGATIVE,2456.5625,2456.71875,-2456.5625,-2456.71875,0.15625,10,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-06 00:00:00,P13+,P13_POSITIVE,2057.1875,2057.5,2057.1875,2057.5,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-06 00:00:00,P13-,P13_NEGATIVE,1133.28125,1133.4375,-1133.28125,-1133.4375,0.15625,9,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-06 00:00:00,P30+,P30_POSITIVE,2923.75,2924.0625,2923.75,2924.0625,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-06 00:00:00,P30-,P30_NEGATIVE,1666.5625,1666.875,-1666.5625,-1666.875,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 11:30:00,P13+,P13_POSITIVE,1513.28125,1513.4375,1513.28125,1513.4375,0.15625,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 11:30:00,P13-,P13_NEGATIVE,1655.3125,1655.46875,-1655.3125,-1655.46875,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 11:30:00,P30+,P30_POSITIVE,2157.1875,2157.5,2157.1875,2157.5,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 11:30:00,P30-,P30_NEGATIVE,2384.53125,2384.6875,-2384.53125,-2384.6875,0.15625,10,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 11:30:00,P13+,P13_POSITIVE,2547.8125,2548.125,2547.8125,2548.125,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 11:30:00,P13-,P13_NEGATIVE,662.03125,662.1875,-662.03125,-662.1875,0.15625,8,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 11:30:00,P30+,P30_POSITIVE,3615.3125,3615.625,3615.3125,3615.625,0.3125,10,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 11:30:00,P30-,P30_NEGATIVE,1018.4375,1018.75,-1018.4375,-1018.75,0.3125,8,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 12:00:00,P13+,P13_POSITIVE,1522.34375,1522.5,1522.34375,1522.5,0.15625,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 12:00:00,P13-,P13_NEGATIVE,1646.5625,1646.71875,-1646.5625,-1646.71875,0.15625,10,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 12:00:00,P30+,P30_POSITIVE,2170,2170.3125,2170,2170.3125,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2010-12-21 12:00:00,P30-,P30_NEGATIVE,2372.5,2372.8125,-2372.5,-2372.8125,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 17:30:00,P13+,P13_POSITIVE,2928.75,2929.0625,2928.75,2929.0625,0.3125,9,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 17:30:00,P13-,P13_NEGATIVE,296.25,296.40625,-296.25,-296.40625,0.15625,7,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 17:30:00,P30+,P30_POSITIVE,4151.875,4152.5,4151.875,4152.5,0.625,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 17:30:00,P30-,P30_NEGATIVE,515.625,515.9375,-515.625,-515.9375,0.3125,7,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-01-21 18:00:00,P13+,P13_POSITIVE,1865.625,1865.78125,1865.625,1865.78125,0.15625,10,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-01-21 18:00:00,P13-,P13_NEGATIVE,1317.1875,1317.34375,-1317.1875,-1317.34375,0.15625,9,BINDING_VMIN,18,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-01-21 18:00:00,P30+,P30_POSITIVE,2653.4375,2653.75,2653.4375,2653.75,0.3125,9,BINDING_VMAX,30,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-01-21 18:00:00,P30-,P30_NEGATIVE,1919.6875,1920,-1919.6875,-1920,0.3125,9,BINDING_VMIN,33,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
2011-02-05 18:00:00,P13+,P13_POSITIVE,2979.53125,2979.6875,2979.53125,2979.6875,0.15625,10,BINDING_VMAX,13,AXIS_BOUNDARY_LOCATION_BRACKET_WIDTH
