scope,item,value,classification,source_location
SHARED,refinement function,refine_boundary!,SUPPORTED_BY_CODE,src/benchmark/dso_vpp_production_probe.jl:434
SHARED,bisection update,midpoint=(safe.coordinate+violating.coordinate)/2; feasible replaces safe; infeasible replaces violating; unresolved aborts,SUPPORTED_BY_CODE,src/benchmark/dso_vpp_production_probe.jl:442-451
SHARED,termination,physical_width_kw <= 1.0 AND both active voltage-limit endpoint distances <= 1e-5 p.u.,SUPPORTED_BY_CODE,src/benchmark/dso_vpp_production_probe.jl:421-441; config/dso_vpp_production_probe_preregistration.toml:146-151
SHARED,iteration cap,60,SUPPORTED_BY_CODE,src/benchmark/dso_vpp_production_probe.jl:437-458
RAY,initial certified bracket,first adjacent converged-feasible/converged-infeasible pair in full r=0:0.05:2 sweep; width 0.05,SUPPORTED_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:413-418,698-738"
RAY,physical width conversion,"(violating_r-safe_r)*hypot(vx,vy)",SUPPORTED_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:673-679,705-707,735-738"
AXIS,initial certified bracket,first adjacent converged-feasible/converged-infeasible pair in coarse sweep; delta=transition_scale/20,SUPPORTED_BY_CODE,src/benchmark/dso_vpp_production_probe.jl:486-525
AXIS,physical width conversion,(violating_coordinate-safe_coordinate)*1.0,SUPPORTED_BY_CODE,src/benchmark/dso_vpp_production_probe.jl:522-525
RAY_CANDIDATE,fixed normalized-r tolerance,No normalized-r stopping tolerance exists.,RULED_OUT_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,physical-coordinate/kW tolerance,The shared stop requires physical width <= 1.0 kW.,SUPPORTED_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,relative tolerance,No relative bracket tolerance exists.,RULED_OUT_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,voltage residual/margin tolerance,Both active-limit endpoint distances must be <= 1e-5 p.u.,SUPPORTED_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,maximum-iteration cap,"Observed certified rays stop after 7/8/9, far below the cap of 60.",NOT_RELEVANT,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,mechanism-specific termination,Both families call refine_boundary!; endpoint_voltage_close selects the active limit but uses the same 1e-5 threshold.,RULED_OUT_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,different ray initial bracket widths,Every certified ray starts from an adjacent 0.05 normalized-r sweep bracket.,RULED_OUT_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,different signed normalization scales,"Ray physical width is normalized-r width times hypot(vx, vy), but equal anchor scales do not imply equal steps.",SUPPORTED_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,floating-point threshold crossing,Stored preceding/final values cross explicit 1 kW and 1e-5 p.u. inequalities without a borderline equality.,NOT_RELEVANT,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_CANDIDATE,another explicit condition,The endpoint-voltage-distance conjunction explains continued halving after the physical-width condition is met.,SUPPORTED_BY_CODE,"src/benchmark/dso_vpp_production_probe.jl:421-458,698-738"
RAY_LEVEL,7 bisections,0.05/2^7=0.000390625; count=104,SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
RAY_LEVEL,8 bisections,0.05/2^8=0.0001953125; count=771,SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
RAY_LEVEL,9 bisections,0.05/2^9=9.765625e-05; count=686,SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,0 deg preceding state,"{""coordinate_width"":0.0003906249999998668,""mechanism"":""BINDING_VMAX"",""physical_width_condition_met"":true,""physical_width_kw"":0.6184387207023516,""safe_voltage_distance_pu"":2.1114409999967165e-05,""step"":7,""violating_voltage_distance_pu"":3.1012799999174945e-06,""voltage_condition_met"":false}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,0 deg final state,"{""coordinate_width"":0.00019531249999982236,""mechanism"":""BINDING_VMAX"",""physical_width_condition_met"":true,""physical_width_kw"":0.309219360351,""safe_voltage_distance_pu"":9.006400000011183e-06,""step"":8,""violating_voltage_distance_pu"":3.1012799999174945e-06,""voltage_condition_met"":true}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,90 deg preceding state,"{""coordinate_width"":0.0003906250000000888,""mechanism"":""BINDING_VMAX"",""physical_width_condition_met"":true,""physical_width_kw"":0.886108398438,""safe_voltage_distance_pu"":1.6398500000125438e-05,""step"":7,""violating_voltage_distance_pu"":7.90149999985168e-06,""voltage_condition_met"":false}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,90 deg final state,"{""coordinate_width"":0.0001953125000000444,""mechanism"":""BINDING_VMAX"",""physical_width_condition_met"":true,""physical_width_kw"":0.443054199219,""safe_voltage_distance_pu"":4.248330000011791e-06,""step"":8,""violating_voltage_distance_pu"":7.90149999985168e-06,""voltage_condition_met"":true}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,180 deg preceding state,"{""coordinate_width"":0.0001953125000000444,""mechanism"":""BINDING_VMIN"",""physical_width_condition_met"":true,""physical_width_kw"":0.309219360352,""safe_voltage_distance_pu"":1.8400019999864625e-06,""step"":8,""violating_voltage_distance_pu"":1.602783800003227e-05,""voltage_condition_met"":false}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,180 deg final state,"{""coordinate_width"":9.76562500000222e-05,""mechanism"":""BINDING_VMIN"",""physical_width_condition_met"":true,""physical_width_kw"":0.154609680176,""safe_voltage_distance_pu"":1.8400019999864625e-06,""step"":9,""violating_voltage_distance_pu"":7.093798999990852e-06,""voltage_condition_met"":true}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,270 deg preceding state,"{""coordinate_width"":0.0001953125000000444,""mechanism"":""BINDING_VMIN"",""physical_width_condition_met"":true,""physical_width_kw"":0.44305419921799993,""safe_voltage_distance_pu"":3.4933100001577344e-07,""step"":8,""violating_voltage_distance_pu"":1.75873880000621e-05,""voltage_condition_met"":false}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
ANCHOR_RAY,270 deg final state,"{""coordinate_width"":9.76562500000222e-05,""mechanism"":""BINDING_VMIN"",""physical_width_condition_met"":true,""physical_width_kw"":0.22152709960899997,""safe_voltage_distance_pu"":3.4933100001577344e-07,""step"":9,""violating_voltage_distance_pu"":8.618909000057684e-06,""voltage_condition_met"":true}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/evaluation_attempts.csv
AXIS_LEVEL,P13_POSITIVE,"initial_width_counts={80.0: 14, 160.0: 18}; final_width_counts={0.15625: 13, 0.3125: 19}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/signed_axis_results.csv
AXIS_LEVEL,P13_NEGATIVE,"initial_width_counts={20.0: 2, 40.0: 3, 80.0: 13, 160.0: 14}; final_width_counts={0.15625: 27, 0.3125: 5}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/signed_axis_results.csv
AXIS_LEVEL,P30_POSITIVE,"initial_width_counts={160.0: 26, 320.0: 6}; final_width_counts={0.3125: 29, 0.625: 3}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/signed_axis_results.csv
AXIS_LEVEL,P30_NEGATIVE,"initial_width_counts={40.0: 2, 80.0: 7, 160.0: 23}; final_width_counts={0.15625: 16, 0.3125: 16}",SUPPORTED_BY_STORED_HISTORY,results/dso_vpp_ac_map_pilot/production_probe/signed_axis_results.csv
CAUSE,VMAX/VMIN bracket asymmetry,Shared termination combines physical geometry with endpoint-voltage threshold crossings; axis initial brackets also differ. No separate VMAX/VMIN refinement path exists.,VMAX_VMIN_BRACKET_ASYMMETRY_EXPLAINED_BY_BOTH_GEOMETRY_AND_TERMINATION,"src/benchmark/dso_vpp_production_probe.jl:421-458,471-560,698-763"
