group,quantity,unit,count,min,Q01,Q05,Q25,median,Q75,Q95,Q99,max,quantile_definition,source_termination_rule,empirical_asymmetry_classification
ALL_PHYSICAL_RAYS,NORMALIZED_R_BRACKET_WIDTH,normalized_r,1561,9.765625e-05,9.765625e-05,9.765625e-05,9.765625e-05,0.0001953125,0.0001953125,0.000390625,0.000390625,0.000390625,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
ALL_PHYSICAL_RAYS,PHYSICAL_BRACKET_LENGTH,kW,1561,0.154510498046875,0.15479888916015624,0.15759825513593712,0.20205110851378205,0.32032901824398813,0.4119809344314885,0.718813598371513,0.812724348187607,0.8541570092499801,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
BASE,NORMALIZED_R_BRACKET_WIDTH,normalized_r,1118,9.765625e-05,9.765625e-05,9.765625e-05,9.765625e-05,0.0001953125,0.0001953125,0.0001953125,0.000390625,0.000390625,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
BASE,PHYSICAL_BRACKET_LENGTH,kW,1118,0.154510498046875,0.15471908569335938,0.1571487632062035,0.196656047553026,0.30959320068359375,0.3963840771085874,0.4525359429885957,0.7981671810197483,0.8394249710602363,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
ADAPTIVE,NORMALIZED_R_BRACKET_WIDTH,normalized_r,443,9.765625e-05,9.765625e-05,9.765625e-05,9.765625e-05,0.0001953125,0.0001953125,0.000390625,0.000390625,0.000390625,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
ADAPTIVE,PHYSICAL_BRACKET_LENGTH,kW,443,0.15985950606944652,0.160078722281129,0.16217554682605367,0.20579695003080636,0.35916715248377823,0.4230324801008938,0.7767680832661416,0.818256466884202,0.8541570092499801,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
VMAX,NORMALIZED_R_BRACKET_WIDTH,normalized_r,787,9.765625e-05,9.765625e-05,9.765625e-05,0.0001953125,0.0001953125,0.0001953125,0.000390625,0.000390625,0.000390625,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
VMAX,PHYSICAL_BRACKET_LENGTH,kW,787,0.1547088623046875,0.15600982666015625,0.16537236728251964,0.3148590608211861,0.393246619685017,0.43696880735511345,0.7870523530889411,0.827394970188961,0.8541570092499801,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
VMIN,NORMALIZED_R_BRACKET_WIDTH,normalized_r,774,9.765625e-05,9.765625e-05,9.765625e-05,9.765625e-05,9.765625e-05,0.0001953125,0.0001953125,0.0001953125,0.0001953125,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
VMIN,PHYSICAL_BRACKET_LENGTH,kW,774,0.154510498046875,0.1547144317626953,0.15713754245637754,0.17455563801028628,0.21261713506689886,0.34097167688801117,0.42252047591470004,0.44047055428482546,0.456268310546875,HYNDMAN_FAN_TYPE_7_LINEAR,PHYSICAL_WIDTH_LE_1_KW_AND_BOTH_ACTIVE_LIMIT_ENDPOINT_DISTANCES_LE_1E-5_PU,VMAX_BOUNDARY_BRACKETS_COARSER_THAN_VMIN_IN_PRODUCTION
