scientific_name,slice_dimension,slice,voltage_statistic,pair_count,positive_count,zero_count,count_0_lt_delta_le_1e-08,count_0_lt_delta_le_1e-07,count_0_lt_delta_le_1e-06,count_0_lt_delta_le_1e-05,count_0_lt_delta_le_2e-05,minimum_positive,count_at_exact_minimum_positive,p0_001,p0_001_requested_percentile_label,p0_001_quantile_probability,p0_001_zero_based_fractional_index,p0_001_zero_based_lower_index,p0_001_zero_based_upper_index,p0_001_one_based_lower_rank,p0_001_one_based_upper_rank,p0_001_interpolation_weight_on_upper,p0_001_lower_rank_value,p0_001_upper_rank_value,p0_001_quantile_interpolation_method,p0_01,p0_1,p1,p5,median,p0_001_audit_classification,percentile_definition
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,ALL_NON_EQUALITY,Delta_Vmin,50556063,50499312,56751,0,91,316,2420,4533,4.439800005417993e-08,71,1.3606430000479008e-06,0.001%,1e-05,504.99311000000006,504,505,505,506,0.9931100000000583,1.3606430000479008e-06,1.3606430000479008e-06,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),2.232578899996618e-05,0.0001573880259999605,0.0009051465219999111,0.006533600955850028,0.06993361722400004,PERCENTILE_RESULT_VALID_AT_REQUESTED_RANK,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,ALL_NON_EQUALITY,Delta_Vmax,50556063,41300246,9255817,0,0,435,1488,4273,2.2632000007405395e-07,435,2.2632000007405395e-07,0.001%,1e-05,413.00245,413,414,414,415,0.0024500000000102773,2.2632000007405395e-07,2.2632000007405395e-07,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),1.5389190000103525e-05,0.00012663465999995793,0.001235572699999965,0.006203813952500026,0.04999245176999989,PERCENTILE_RESULT_VALID_DUE_TO_TIES,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,P13_STRICT_ONLY,Delta_Vmin,357630,357511,119,0,0,0,1,5,9.631320999958781e-06,1,1.7271580975290017e-05,0.001%,1e-05,3.5751000000000004,3,4,4,5,0.5751000000000004,1.4213484999969772e-05,1.9530988000004967e-05,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),7.366654077099966e-05,0.00027666468099996067,0.0010783638349999292,0.0039635084509999086,0.06568384115799997,PERCENTILE_INTERPOLATION_EFFECT,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,P13_STRICT_ONLY,Delta_Vmax,357630,253398,104232,0,0,0,1,2,7.607579999957537e-06,1,2.0375929999927322e-05,0.001%,1e-05,2.53397,2,3,3,4,0.5339700000000001,2.0375929999927322e-05,2.0375929999927322e-05,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),3.101336000010946e-05,0.00012251405000007765,0.0010128367399999672,0.0050900460320001395,0.050072265789999904,PERCENTILE_RESULT_VALID_AT_REQUESTED_RANK,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,P30_STRICT_ONLY,Delta_Vmin,367548,367548,0,0,0,0,0,0,5.7081628999977596e-05,1,7.604337997260922e-05,0.001%,1e-05,3.6754700000000002,3,4,4,5,0.6754700000000002,6.74900290000835e-05,8.015284300000314e-05,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),0.00027494765774780007,0.0004080421639999221,0.0015994488610000523,0.005833562637600032,0.07179058902750002,PERCENTILE_INTERPOLATION_EFFECT,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,P30_STRICT_ONLY,Delta_Vmax,367548,262431,105117,0,0,1,2,2,2.2632000007405395e-07,1,2.2992652519037195e-05,0.001%,1e-05,2.6243000000000003,2,3,3,4,0.6243000000000003,2.0773059999923404e-05,2.432839000010567e-05,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),8.11987900000144e-05,0.00020878688000003365,0.0010128367399999672,0.004729233820000012,0.05021418184999993,PERCENTILE_INTERPOLATION_EFFECT,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,STRICT_2D,Delta_Vmin,49830885,49774253,56632,0,91,316,2419,4528,4.439800005417993e-08,71,1.3606430000479008e-06,0.001%,1e-05,497.74252,497,498,498,499,0.7425200000000132,1.3606430000479008e-06,1.3606430000479008e-06,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),2.2091661999956713e-05,0.00015659919300003988,0.0009005902149999967,0.006576944400399954,0.06994405561000006,PERCENTILE_RESULT_VALID_AT_REQUESTED_RANK,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,COORDINATE_CLASS,STRICT_2D,Delta_Vmax,49830885,40784417,9046468,0,0,434,1485,4269,2.2632000007405395e-07,434,2.2632000007405395e-07,0.001%,1e-05,407.84416000000004,407,408,408,409,0.8441600000000449,2.2632000007405395e-07,2.2632000007405395e-07,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),1.5389190000103525e-05,0.00012663465999995793,0.0012475974799999179,0.006227302769999944,0.04999170838999989,PERCENTILE_RESULT_VALID_DUE_TO_TIES,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,RHO_REGION,WITHIN_AXIS_NORMALIZED_CORE,Delta_Vmin,17003738,17002212,1526,0,6,17,105,204,4.439800005417993e-08,6,1.515205323517027e-05,0.001%,1e-05,170.02211000000003,170,171,171,172,0.022110000000026275,1.5134324000021238e-05,1.5936188999976508e-05,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),8.012724600931252e-05,0.000251231984000011,0.001207756813000005,0.004486272979050032,0.04137120640799996,PERCENTILE_INTERPOLATION_EFFECT,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,RHO_REGION,WITHIN_AXIS_NORMALIZED_CORE,Delta_Vmax,17003738,12652869,4350869,0,0,199,731,2330,2.2632000007405395e-07,199,2.2632000007405395e-07,0.001%,1e-05,126.52868000000001,126,127,127,128,0.5286800000000085,2.2632000007405395e-07,2.2632000007405395e-07,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),1.2192930000098912e-05,7.901546000010917e-05,0.000745497720000099,0.0035625964099998964,0.03415767053999996,PERCENTILE_RESULT_VALID_DUE_TO_TIES,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,RHO_REGION,STRADDLING,Delta_Vmin,22673415,22653513,19902,0,65,238,1245,2372,4.439800005417993e-08,65,4.318220000465445e-07,0.001%,1e-05,226.53512,226,227,227,228,0.5351200000000063,4.318220000465445e-07,4.318220000465445e-07,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),1.80499240000076e-05,0.00014261742099996866,0.0008483781820000091,0.008520546181000066,0.08511409155599992,PERCENTILE_RESULT_VALID_AT_REQUESTED_RANK,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,RHO_REGION,STRADDLING,Delta_Vmax,22673415,18671545,4001870,0,0,236,756,1941,2.2632000007405395e-07,236,2.2632000007405395e-07,0.001%,1e-05,186.71544000000003,186,187,187,188,0.7154400000000294,2.2632000007405395e-07,2.2632000007405395e-07,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),1.5389190000103525e-05,0.000139943390000008,0.0013490030900000782,0.006967609019999932,0.053098991799999995,PERCENTILE_RESULT_VALID_DUE_TO_TIES,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,RHO_REGION,BOTH_FARTHER,Delta_Vmin,10878910,10843587,35323,0,20,61,1070,1957,9.401099998473939e-08,20,2.736249000045987e-06,0.001%,1e-05,108.43586,108,109,109,110,0.43586000000000524,2.736249000045987e-06,2.736249000045987e-06,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),1.0237193999951266e-05,0.00010170732100001079,0.0006517446360000401,0.012682207473600039,0.0984896978819999,PERCENTILE_RESULT_VALID_AT_REQUESTED_RANK,positive deltas only; deterministic NumPy type-7 linear quantile
EMPIRICAL_SEPARATION_SCALE,RHO_REGION,BOTH_FARTHER,Delta_Vmax,10878910,9975832,903078,0,0,0,1,2,4.347870000032117e-06,1,3.79563899999269e-05,0.001%,1e-05,99.75831000000001,99,100,100,101,0.7583100000000087,3.79563899999269e-05,3.79563899999269e-05,Hyndman-Fan type 7 linear interpolation (NumPy default linear method),7.41213099999527e-05,0.0005869393999999861,0.0049375359199999025,0.015715007551499953,0.06336383329999995,PERCENTILE_RESULT_VALID_AT_REQUESTED_RANK,positive deltas only; deterministic NumPy type-7 linear quantile
