timestamp,representation,convex_cells,outer_region_facets,number_of_pocket_components,pocket_facet_counts,total_pocket_facets,number_of_disjunction_groups,conceptual_alternatives,total_geometric_inequalities,representation_status,complexity_semantics
2010-07-01 07:30:00,A_FULL_EXACT_CONVEX_PARTITION,21,0,0,,0,1,21,93,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-07-01 07:30:00,B_EXACT_HULL_MINUS_POCKETS,1,29,2,NONCONVEX;NONCONVEX,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-07-01 07:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;NONCONVEX,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-01 07:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;NONCONVEX,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-01 07:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;NONCONVEX,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-01 07:30:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;NONCONVEX,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 17:30:00,A_FULL_EXACT_CONVEX_PARTITION,25,0,0,,0,1,25,102,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-07-02 17:30:00,B_EXACT_HULL_MINUS_POCKETS,1,29,2,13;15,28,2,195,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-07-02 17:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,3;3,6,2,9,35,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 17:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,4;4,8,2,16,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
