scope,timestamp,component_id,breakdown_dimension,breakdown_group,inward_boundary_point_count,newly_excluded_count,newly_excluded_fraction,sampled_ray_angular_coverage_before_deg,sampled_ray_angular_coverage_after_deg,retained_inward_ray_points_before,retained_inward_ray_points_after,retained_signed_axis_endpoints_before,retained_signed_axis_endpoints_after,delta_r_kw_count,delta_r_kw_min,delta_r_kw_q1,delta_r_kw_median,delta_r_kw_q3,delta_r_kw_max,delta_r_over_r_original_count,delta_r_over_r_original_min,delta_r_over_r_original_q1,delta_r_over_r_original_median,delta_r_over_r_original_q3,delta_r_over_r_original_max,delta_r_over_paired_boundary_bracket_count,delta_r_over_paired_boundary_bracket_min,delta_r_over_paired_boundary_bracket_q1,delta_r_over_paired_boundary_bracket_median,delta_r_over_paired_boundary_bracket_q3,delta_r_over_paired_boundary_bracket_max
AGGREGATE,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,ALL,ALL,1689,23,0.0136175251628182,,,1561,1541,128,125,23,0.0149386797102125,0.11636565496633,1.37728988917911,2.52381619023208,8.68227517448713,23,6.43601619030606e-06,5.6432494474724e-05,0.000721751711217436,0.00153536099095901,0.00506215468954969,23,0.0339242413321851,0.452636162045515,5.89178469054233,10.0273890205153,21.7672650287257
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,PRIMARY_CLASS,VMAX_BUS_13,429,8,0.0186480186480186,,,397,391,32,30,8,0.0198371871899781,0.156327267170639,0.241060673883339,2.41838732866535,8.68227517448713,8,1.20746821078804e-05,9.15343263071451e-05,0.000146600656555714,0.0014778927894895,0.00506215468954969,8,0.0634789990079298,0.488714714854389,1.41869923514126,7.90717172705643,21.7672650287257
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,PRIMARY_CLASS,VMAX_BUS_30,422,15,0.0355450236966825,,,390,376,32,31,15,0.0149386797102125,0.11636565496633,1.53510056061077,2.84336658505481,6.19697289148007,15,6.43601619030606e-06,5.30107785851448e-05,0.000767054351125424,0.00153536099095901,0.00291987087277282,15,0.0339242413321851,0.491363949570942,7.4217727107844,10.0273890205153,18.0041484408504
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,PRIMARY_CLASS,VMIN_BUS_18,435,0,0,,,403,403,32,32,0,,,,,,0,,,,,,0,,,,,
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,PRIMARY_CLASS,VMIN_BUS_33,403,0,0,,,371,371,32,32,0,,,,,,0,,,,,,0,,,,,
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,BINDING_FAMILY,VMAX,851,23,0.027027027027027,,,787,767,64,61,23,0.0149386797102125,0.11636565496633,1.37728988917911,2.52381619023208,8.68227517448713,23,6.43601619030606e-06,5.6432494474724e-05,0.000721751711217436,0.00153536099095901,0.00506215468954969,23,0.0339242413321851,0.452636162045515,5.89178469054233,10.0273890205153,21.7672650287257
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,BINDING_FAMILY,VMIN,838,0,0,,,774,774,64,64,0,,,,,,0,,,,,,0,,,,,
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,SEARCH_KIND,RAY,1561,20,0.0128122998078155,,,1561,1541,0,0,20,0.0149386797102125,0.173136038760106,1.58335157241959,2.778383193433,8.68227517448713,20,6.43601619030606e-06,9.5639100300292e-05,0.000814967231678861,0.0015730349357468,0.00506215468954969,20,0.0339242413321851,0.6152864172827,6.82933500299262,11.344428388671,21.7672650287257
AGGREGATE_BREAKDOWN,ALL_TIMESTAMPS,ALL_NONCONVEX_VMAX_POCKETS,SEARCH_KIND,AXIS,128,3,0.0234375,,,0,0,128,125,3,0.0198371871899781,0.0569417433119952,0.0940462994340123,0.181144269301058,0.268242239168103,3,1.20746821078804e-05,2.67270984085761e-05,4.13795147092718e-05,9.91531429165035e-05,0.000156926771123735,3,0.0634789990079298,0.182213578598385,0.300948158188839,1.00884924443235,1.71675033067586
PER_AFFECTED_TIMESTAMP,2010-07-01 07:30:00,ALL_NONCONVEX_VMAX_POCKETS_AT_TIMESTAMP,ALL,ALL,51,2,0.0392156862745098,345.000000000055,345.000000000055,47,46,4,3,2,0.0149386797102125,0.0782645695746851,0.141590459439158,0.20491634930363,0.268242239168103,2,6.43601619030606e-06,4.40587049236634e-05,8.16813936570207e-05,0.000119304082390378,0.000156926771123735,2,0.0339242413321851,0.454630763668104,0.875337286004022,1.29604380833994,1.71675033067586
