timestamp,outer_hull_irredundant_facets,vmax_bus13_pocket_hull_facets,vmax_bus30_pocket_hull_facets,number_of_vmax_forbidden_pocket_disjunction_groups,total_vmax_pocket_facets,total_geometric_inequalities_outer_plus_vmax_pockets,vmin_positive_area_pocket_count_resolution_qualified,vmin_classification,vmin_exact_identity_incorporation,full_partition_exact_convex_cells,full_partition_total_geometric_inequalities,full_partition_conceptual_cell_alternatives,pocket_difference_status,complexity_semantics,scientific_status
2010-07-01 07:30:00,29,12,12,2,24,53,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,21,93,21,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-07-02 17:30:00,29,15,13,2,28,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,25,102,25,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-07-02 18:00:00,29,15,13,2,28,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,25,102,25,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-07-03 00:00:00,31,13,13,2,26,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,23,98,23,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-11-26 18:00:00,31,13,13,2,26,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,23,99,23,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-12-21 11:30:00,31,13,13,2,26,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,23,98,23,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2010-12-21 12:00:00,31,13,13,2,26,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,23,99,23,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-01-21 18:00:00,30,13,12,2,25,55,1,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,22,97,22,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-02-05 11:30:00,29,15,12,2,27,56,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,24,100,24,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-02-05 17:30:00,26,17,13,2,30,56,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,28,109,28,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-02-05 18:00:00,27,17,14,2,31,58,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,28,109,28,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-02-06 00:00:00,29,13,13,2,26,55,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,23,97,23,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
2011-03-04 18:00:00,31,13,13,2,26,57,0,VMIN_NONCONVEXITY_NOT_RESOLVABLE_ABOVE_BOUNDARY_SEARCH_RESOLUTION,NOT_REQUIRED_BY_PRIOR_RESOLUTION_QUALIFIED_EVIDENCE,23,98,23,GEOMETRIC_CONSERVATIVE_FORBIDDEN_REGION_APPROXIMATION,REPRESENTATION_INDEPENDENT_GEOMETRIC_COMPLEXITY;TWO_VMAX_DISJUNCTION_GROUPS;NO_BINARY_COUNT_OR_CARTESIAN_EXPANSION_METRIC,GEOMETRIC_ONLY;NOT_AC_INTERIOR_CERTIFIED
