timestamp,bus_class,component_id,true_pocket_area_kw2,true_vertex_count,true_convex_hull_vertex_count,internal_nonconvexity_area_kw2,internal_nonconvexity_fraction,existing_nonconvexity_depth_diagnostic_kw
2010-07-01 07:30:00,VMAX / bus 30,20100701T073000_C01,79921.5197198503,13,12,1.21522840780381,1.52052715221577e-05,0.012114334609593
2010-07-01 07:30:00,VMAX / bus 13,20100701T073000_C02,120507.643541784,13,12,25.0528185666772,0.000207894020913208,0.207161173942642
2011-01-21 18:00:00,VMAX / bus 30,20110121T180000_C01,92864.5480204962,13,12,5.83224064292153,6.28037369183587e-05,0.0630505426738218
2011-02-05 11:30:00,VMAX / bus 30,20110205T113000_C01,87962.7014873913,13,12,3.33539547678083,3.79182928716546e-05,0.0259774399651144
2011-02-05 17:30:00,VMAX / bus 30,20110205T173000_C01,128707.299902854,15,13,468.380373366643,0.00363911272880536,2.41820162840099
2011-05-11 18:00:00,VMAX / bus 13,20110511T180000_C02,188064.071353173,15,12,2402.5436059779,0.0127751334355942,2.17863612109737
2011-05-16 07:30:00,VMAX / bus 13,20110516T073000_C03,142590.671805708,13,12,2.11438913983875,1.48283833231376e-05,0.0166686722272785
2011-09-30 05:30:00,VMAX / bus 30,20110930T053000_C01,127784.904621301,14,11,1717.66653237911,0.0134418579210864,3.25574069063418
2011-09-30 11:30:00,VMAX / bus 30,20110930T113000_C01,119439.462555407,13,12,12.6199102484679,0.000105659469479056,0.0861914368616648
2011-11-14 19:30:00,VMAX / bus 13,20111114T193000_C02,191462.339321903,15,13,463.407433611341,0.00242035815112558,1.70621045960915
2011-12-15 05:30:00,VMAX / bus 30,20111215T053000_C01,135770.824753428,14,12,918.895247851731,0.00676798752250732,3.57642321526575
2012-08-04 03:30:00,VMAX / bus 30,20120804T033000_C01,139173.216564548,14,12,536.329166125972,0.00385368089755418,2.38005989956684
2012-10-15 13:00:00,VMAX / bus 30,20121015T130000_C01,136049.783266627,14,12,906.520256389165,0.00666315105120445,3.63310587948452
2013-04-17 05:30:00,VMAX / bus 13,20130417T053000_C02,127847.479899688,13,12,35.4950424532872,0.000277635839839294,0.166629335091563
