key,value
computation_base_commit,ae24e08180cf154c3c49b136d5babc5f190b6a0c
artifact_commit,SELF_REFERENCE: Git commit containing this manifest
artifact_commit_design,symbolic self-reference avoids circular or false commit hashes
julia_version,1.12.6
machine_architecture,x86_64-w64-mingw32
operating_system,NT
julia_threads,1
manifest_toml_sha256,cf93a288b20ed464acca057da4da3f03357409d1b7c3671a7476b239ef4304c1
solver_power_flow_implementation,CiroPVHC.DSOVPPExportSideAxisScan.radial_bfs.v1
profile_input_path,data_processed\ausgrid\ausgrid_halfhour_normalized.csv
profile_input_sha256,504dfa1c4d037d7497caa330611b5bb45f9774a2b9a984443753c88cba3de500
network_input_path,src\data\ieee33.jl
network_input_file_sha256,c1d5fe6cfecda22467c397e087825ceb898c1b577a20bb158389ca60777527c4
network_data_sha256,bff812d6600e65167ac5ca999c987b4cbbe1c27b46ab80fe03ae102e332e053e
profile_data_sha256,504dfa1c4d037d7497caa330611b5bb45f9774a2b9a984443753c88cba3de500
runner_path,scripts/run_dso_vpp_export_side_axis_scan.jl
exact_command,julia --project=. scripts/run_dso_vpp_export_side_axis_scan.jl --overwrite
resolved_configuration,H_kW=850;reference_pv_bus=13;Vmin=0.9;Vmax=1.05;initial_step_rule=total_canonical_nominal_active_load_kW/64;initial_step_kW=58.046875;maximum_doubling_steps=12;maximum_refinement_steps=60;capacity_tolerance_kW=1.0;voltage_margin_tolerance_pu=1.0e-5;binding_tolerance_pu=1.0e-5;Q_PV_kvar=0;Q_VPP13_kvar=0;Q_VPP30_kvar=0;thermal_limit=none;transformer_limit=none;upstream_exchange=unconstrained;axes=P13_VPP;P30_VPP
start_timestamp,2026-07-31T17:14:30.589
end_timestamp,2026-07-31T17:14:45.935
canonical_start_timestamp,2012-10-15 00:00:00
canonical_end_timestamp,2012-10-16 23:30:00
number_of_evaluations,3691
output_sha256_export_side_axis_capacity_bounds.csv,79ae1cd38ca705399babfa104e4f14c75f18d9bed4ecd4cd5b4b99d044a6af92
output_sha256_export_side_axis_scan_points.csv,5eefe06a65394dcc12a91265ce2b86df8f3eb881018cf68416d0a6628394e5a8
output_sha256_export_side_axis_timing.csv,5461770f54a177d02ca4e1c8a1342be8d8fe6a9d684af9a6a76b8873401b6c78
output_sha256_export_side_axis_resource_estimate.csv,14a3f29590492e3170e45e004be39f42113a4dd8e1f9a88f5397829e35d3d267
output_sha256_export_side_axis_report.md,3828d1ddd1a5020a40425e9c77c95090eae124a481faeef787de249ff4c811fd
output_sha256_export_side_axis_topology_diagnostic.csv,b3431e6024c6020cde2c6241b9274127224c89dd235c98d6dc15189e3667d3e9
output_sha256_export_side_axis_topology_diagnostic.md,3671051ebc4b550e75faa439b23e308981e9741acd7a1c62810357452af6de56
output_sha256_export_side_axis_reproducibility_check.csv,88f3142a0d6fba8f6ef4fb0ea7706c225f99d902206965e07c2af70c7b2592ff
