timestamp,usable_points,total_comparable_pairs,cross_trajectory_comparable_pairs,scalar_Vmin_violations,scalar_Vmax_violations,logical_VMIN_violations,logical_VMAX_violations
2010-07-01 07:30:00,2709,1616293,1583566,0,0,0,0
2010-07-02 17:30:00,2717,1619793,1587270,0,0,0,0
2010-07-02 18:00:00,2725,1624928,1592307,0,0,0,0
2010-07-03 00:00:00,2723,1608256,1575587,0,0,0,0
2010-11-26 18:00:00,2729,1616944,1584017,0,0,0,0
2010-12-21 11:30:00,2724,1603139,1570818,0,0,0,0
2010-12-21 12:00:00,2713,1594556,1562389,0,0,0,0
2011-01-21 18:00:00,2728,1615416,1582685,0,0,0,0
2011-02-05 11:30:00,2727,1629845,1597224,0,0,0,0
2011-02-05 17:30:00,2766,1712946,1679414,0,0,0,0
2011-02-05 18:00:00,2763,1710000,1676552,0,0,0,0
2011-02-06 00:00:00,2710,1617820,1585096,0,0,0,0
2011-03-04 18:00:00,2729,1615484,1582711,0,0,0,0
2011-03-08 11:30:00,2716,1598911,1566643,0,0,0,0
2011-03-08 12:30:00,2722,1603208,1570887,0,0,0,0
2011-05-11 17:30:00,2720,1619962,1587340,0,0,0,0
2011-05-11 18:00:00,2725,1625437,1592768,0,0,0,0
2011-05-16 07:30:00,2730,1621023,1588194,0,0,0,0
2011-09-11 00:00:00,2714,1593816,1561688,0,0,0,0
2011-09-30 05:30:00,2708,1595317,1563099,0,0,0,0
2011-09-30 11:30:00,2714,1594128,1562061,0,0,0,0
2011-11-14 17:30:00,2719,1620389,1587823,0,0,0,0
2011-11-14 19:30:00,2722,1621720,1588985,0,0,0,0
2011-12-15 05:30:00,2710,1597970,1565700,0,0,0,0
2012-08-04 03:30:00,2708,1594533,1562366,0,0,0,0
2012-08-05 23:30:00,2714,1595940,1563721,0,0,0,0
2012-08-24 12:00:00,2719,1600847,1568526,0,0,0,0
2012-08-31 11:30:00,2712,1593725,1561556,0,0,0,0
2012-09-03 07:00:00,2722,1608557,1575924,0,0,0,0
2012-10-15 13:00:00,2711,1598902,1566586,0,0,0,0
2013-04-07 02:00:00,2729,1614925,1582096,0,0,0,0
2013-04-17 05:30:00,2708,1598187,1565920,0,0,0,0
