match_type,matched_value,file,lines,commit,context
EXACT_STRING,0.9282211452522351,data_processed/ausgrid/ausgrid_daily_stress_ranking.csv,2,bf714f4ee5767283b3bd3c662738207b940dd866,"daily max_pv_profile field; the same row's critical_time=13:00 is the daily stress-ratio slot, not the timestamp of max_pv_profile"
EXACT_STRING,0.9282211452522351,data_processed/ausgrid/ausgrid_halfhour_normalized.csv,40203,bf714f4ee5767283b3bd3c662738207b940dd866,canonical 2012-10-15 12:30 row; date slot 25
EXACT_STRING,0.9282211452522351,data_processed/ausgrid/ausgrid_pipeline_metadata.json,253,bf714f4ee5767283b3bd3c662738207b940dd866,daily ranking metadata max_pv_profile
EXACT_STRING,0.9282211452522351,data_processed/ausgrid/ausgrid_top_30_critical_days.csv,27,bf714f4ee5767283b3bd3c662738207b940dd866,copied canonical 2012-10-15 12:30 row
EXACT_STRING,0.9282211452522351,results/dso_vpp_ac_map_pilot/_archived_stage0_missing_reference_pv_20260730T145810Z/stage0_audit_report.md,186;236;259,ae24e08180cf154c3c49b136d5babc5f190b6a0c,invalid archived report nevertheless labels the value correctly as the 12:30 canonical peak
EXACT_STRING,0.9282211452522351,results/dso_vpp_ac_map_pilot/_archived_stage0_missing_reference_pv_20260730T145810Z/stage0_pv_presence_check.csv,2;3,ae24e08180cf154c3c49b136d5babc5f190b6a0c,invalid archived 12:30 H=850 and H=0 checks
CLOSE_RENDERING_SAME_FLOAT,0.92822114525223509,results/pre_s1_audit/critical_day_candidates.csv,22,d319fe4,daily maximum PV profile rendered with 17 significant digits; not an exact text occurrence
ROUNDED_SAME_VALUE,0.928221145252,results/dso_vpp_ac_map_pilot/export_side_axis_scan_points.csv,960-994,24138a3423875d1c58f814b8f448cebdd8287383,35 Phase-B scan evaluations at the 12:30 row; rounded artifact formatting
ROUNDED_SAME_VALUE,0.928221145252,results/dso_vpp_ac_map_pilot/stage0_benchmark_points_corrected.csv,27;123;219;315;411;507;603;699;795;891;987,ae24e08180cf154c3c49b136d5babc5f190b6a0c,eleven corrected Stage-0 samples keyed to 12:30
ROUNDED_SAME_VALUE,0.928221145252,results/dso_vpp_ac_map_pilot/stage0_pv_presence_check_corrected.csv,2;3,ae24e08180cf154c3c49b136d5babc5f190b6a0c,corrected 12:30 H=850 and H=0 checks
ROUNDED_SAME_VALUE,0.928221145252,results/dso_vpp_ac_map_pilot/stage0_repair_report.md,102,ae24e08180cf154c3c49b136d5babc5f190b6a0c,rounded statement of the canonical 12:30 PV factor
ROUNDED_SAME_VALUE,0.928221145252,results/dso_vpp_ac_map_pilot/_archived_stage0_missing_reference_pv_20260730T145810Z/stage0_data_audit.csv,2,ae24e08180cf154c3c49b136d5babc5f190b6a0c,rounded maximum PV factor over the archived pilot window
CLOSE_UNRELATED_VOLTAGE,0.928227418856,results/dso_vpp_ac_map_pilot/stage0_before_after_comparison.csv;results/dso_vpp_ac_map_pilot/stage0_benchmark_points_corrected.csv,469;469,ae24e08180cf154c3c49b136d5babc5f190b6a0c,minimum voltage at 2012-10-16 17:30; not a PV factor
CLOSE_UNRELATED_VOLTAGE,0.928225729242754;0.928225729266307;0.928222291858095,results/s0_full_period_baseline/s0_interval_metrics.csv,5067;29583;91506,133c7b0,S0 voltage metrics at unrelated timestamps; protected historical smoke/result data left untouched
HISTORY_SEARCH,0.9282211452522351,data_processed/ausgrid/*,introduced,bf714f4ee5767283b3bd3c662738207b940dd866,git log -S exact-string introduction; present unchanged at base snapshot d8e1bb0a7909711b4124f95673fb3a4802ae783a
HISTORY_SEARCH,0.9282211452522351,results/dso_vpp_ac_map_pilot/_archived_stage0_missing_reference_pv_20260730T145810Z/*,introduced,ae24e08180cf154c3c49b136d5babc5f190b6a0c,git log -S exact-string archive introduction; present unchanged at base snapshot d8e1bb0a7909711b4124f95673fb3a4802ae783a
