metric,anchor_raw_value,rank_ascending,sample_count,percentile,tail,tail_probability,classification
a13,0.07841105354058722,29,32,0.9032258064516129,UPPER,0.09677419354838712,NEAR_EXTREME
a30,0.08279377324700372,29,32,0.9032258064516129,UPPER,0.09677419354838712,NEAR_EXTREME
actual_evaluations,2731,21,32,0.6451612903225806,UPPER,0.3548387096774194,TYPICAL
adaptive_ray_count,15,1,32,0.0,LOWER,0.0,EXTREME
base_ray_count,36,1,32,0.0,LOWER,0.0,EXTREME
center_p13_kw,-124.140625,4,32,0.0967741935483871,LOWER,0.0967741935483871,NEAR_EXTREME
center_p30_kw,-187.8125,4,32,0.0967741935483871,LOWER,0.0967741935483871,NEAR_EXTREME
guard_limited_ray_count,3,26,32,0.8064516129032258,UPPER,0.19354838709677424,TYPICAL
maximum_base_boundary_radius,1.9375,25,32,0.7741935483870968,UPPER,0.22580645161290325,TYPICAL
median_adaptive_boundary_radius,1.29677734375,7,32,0.1935483870967742,LOWER,0.1935483870967742,TYPICAL
median_base_boundary_radius,1.0251953125,15,32,0.45161290322580644,LOWER,0.45161290322580644,TYPICAL
minimum_base_boundary_radius,0.89482421875,19,32,0.5806451612903226,UPPER,0.4193548387096774,TYPICAL
p13_axis_width_kw,3166.40625,4,32,0.0967741935483871,LOWER,0.0967741935483871,NEAR_EXTREME
p13_negative_magnitude_kw,1707.34375,29,32,0.9032258064516129,UPPER,0.09677419354838712,NEAR_EXTREME
p13_positive_kw,1459.0625,4,32,0.0967741935483871,LOWER,0.0967741935483871,NEAR_EXTREME
p30_axis_width_kw,4536.875,3,32,0.06451612903225806,LOWER,0.06451612903225806,NEAR_EXTREME
p30_negative_magnitude_kw,2456.25,29,32,0.9032258064516129,UPPER,0.09677419354838712,NEAR_EXTREME
p30_positive_kw,2080.625,4,32,0.0967741935483871,LOWER,0.0967741935483871,NEAR_EXTREME
retry_count,10,19,32,0.5806451612903226,UPPER,0.4193548387096774,TYPICAL
runtime_seconds,6.72000002861,32,32,1.0,UPPER,0.0,EXTREME
total_axis_width_kw,7703.28125,4,32,0.0967741935483871,LOWER,0.0967741935483871,NEAR_EXTREME
