check,result,pass,evidence
nonconvergence_is_not_infeasibility,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
lower_endpoint_converged_feasible,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
upper_endpoint_converged_infeasible,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
upper_endpoint_actual_voltage_violation,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
nonconverged_endpoint_rejected,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
feasible_to_nonconverged_axis_unresolved,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
feasible_to_nonconverged_ray_unresolved,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
retry_operationally_distinct,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
retry_primary_settings_match_stage0,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
retry_does_not_change_physics,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
identical_retry_forbidden,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
both_endpoints_stored,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
coordinate_tolerance_explicit,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
official_boundary_is_safe,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
binding_vmin_invariant,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
binding_vmax_invariant,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
interpolated_region_not_certified,PASS,true,config/dso_vpp_production_probe_preregistration.toml; src/benchmark/dso_vpp_production_probe_contract.jl; test/test_dso_vpp_production_probe_contract.jl
