item,value,provenance_class,source
underlying_benchmark_wall_seconds,15.3498603,MEASURED,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
underlying_benchmark_evaluation_count,3691,MEASURED,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
empirical_aggregate_ms_per_evaluation,4.1587,DERIVED_WALL_DIVIDED_BY_COUNT,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
single_worker_solve_latency,UNKNOWN_NOT_DIRECTLY_MEASURED,NOT_INFERRED,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
machine_architecture,x86_64-w64-mingw32,MEASURED_MANIFEST,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
operating_system,NT,MEASURED_MANIFEST,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
benchmark_machine_identity_cpu_ram,NOT_RECORDED_IN_COMMITTED_BENCHMARK_ARTIFACTS,UNKNOWN,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
processes_workers,1,SERIAL_RUNNER_CODE_AND_MANIFEST_CONTEXT,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
julia_threads,1,MEASURED_MANIFEST,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
timestamps_or_rays_parallelized,false,SERIAL_PHASE_B_RUNNER,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
previous_12192_evaluations,MODEL_ESTIMATE_NOT_EXECUTED_COUNT,CORRECTED_PROVENANCE,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
previous_50_7_seconds,EXTRAPOLATION_NOT_MEASURED_WALL,CORRECTED_PROVENANCE,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
production_base_evaluations,66304,PREREGISTERED_MODEL,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
production_full_adaptive_evaluations,125056,PREREGISTERED_MODEL,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
original_runtime_estimate,5-15 minutes,RETAINED,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
estimate_requires_parallel_speedup,false,HARD_CAP_AGGREGATE_EXTRAPOLATION_IS_8.7_MIN,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
planned_execution,8 one-thread workers on 12-CPU/32-GB VM,PREREGISTERED_NOT_BENCHMARKED,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
uncertainty,benchmark may overrepresent feasible/easy evaluations and underrepresent near-boundary retry-heavy or nonconvergent points,CAVEAT,results/dso_vpp_ac_map_pilot/export_side_axis_timing.csv; results/dso_vpp_ac_map_pilot/export_side_axis_evidence_manifest.csv
