selection_index,timestamp,level,angle_deg,parent_start_angle_deg,parent_end_angle_deg,adaptive_triggers,status,no_reentry_statement,official_boundary_r,binding_mechanism,binding_bus,safe_r,safe_p13_abs_kw,safe_p30_abs_kw,safe_vmin_pu,safe_vmin_bus,safe_vmax_pu,safe_vmax_bus,safe_solver_status,violating_r,violating_p13_abs_kw,violating_p30_abs_kw,violating_vmin_pu,violating_vmin_bus,violating_vmax_pu,violating_vmax_bus,violating_solver_status,sweep_point_count,refinement_steps,unresolved_point_count,bracket_width_kw
1,2012-10-15 13:00:00,ADAPTIVE,55,50,60,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0298828125,BINDING_VMAX,30,1.0298828125,811.083605088,1725.91081468,1,1,1.04999925055,30,CONVERGED_FEASIBLE,1.02998046875,811.172285557,1726.09227906,1,1,1.05000530709,30,CONVERGED_INFEASIBLE,41,9,0,0.201974121095
1,2012-10-15 13:00:00,ADAPTIVE,105,100,110,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1654296875,BINDING_VMAX,30,1.1654296875,-601.690731075,2365.80986354,0.989714565434,18,1.04999860121,30,CONVERGED_FEASIBLE,1.165625,-601.770762934,2366.23782104,0.989715904195,18,1.05000920182,30,CONVERGED_INFEASIBLE,41,8,0,0.435376520686
1,2012-10-15 13:00:00,ADAPTIVE,115,110,120,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.3458984375,BINDING_VMAX,30,1.3458984375,-1024.66855438,2579.2235575,0.971952380902,18,1.04999779486,30,CONVERGED_FEASIBLE,1.34609375,-1024.79923613,2579.62510097,0.971950792368,18,1.05000685529,30,CONVERGED_INFEASIBLE,41,8,0,0.422273463973
1,2012-10-15 13:00:00,ADAPTIVE,125,120,130,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.6677734375,BINDING_VMAX,30,1.6677734375,-1638.62568108,2911.23612205,0.944560733993,18,1.04999325072,30,CONVERGED_FEASIBLE,1.66796875,-1638.80304202,2911.5990508,0.944555770667,18,1.05000033242,30,CONVERGED_INFEASIBLE,41,8,0,0.403948242189
1,2012-10-15 13:00:00,ADAPTIVE,135,130,140,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,NaN,RAY_UNBOUNDED_WITHIN_GUARD,,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,NaN,,,41,0,0,NaN
1,2012-10-15 13:00:00,ADAPTIVE,145,140,150,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.590234375,BINDING_VMIN,18,1.590234375,-2186.49026363,1881.2769033,0.900009476204,18,1.01212891552,30,CONVERGED_FEASIBLE,1.5904296875,-2186.7435613,1881.53102875,0.899997916858,18,1.01213190159,30,CONVERGED_INFEASIBLE,41,8,0,0.358802806419
1,2012-10-15 13:00:00,ADAPTIVE,155,150,160,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.29677734375,BINDING_VMIN,18,1.29677734375,-1984.84665126,1055.38604093,0.900003381672,18,1,1,CONVERGED_FEASIBLE,1.296875,-1984.98677522,1055.47966232,0.89999650131,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.168522074137
1,2012-10-15 13:00:00,ADAPTIVE,165,160,170,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1177734375,BINDING_VMIN,18,1.1177734375,-1833.50324029,468.448859081,0.90000174494,18,1,1,CONVERGED_FEASIBLE,1.11787109375,-1833.65258177,468.506194514,0.899993900571,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.159969467006
1,2012-10-15 13:00:00,ADAPTIVE,235,230,240,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.98564453125,BINDING_VMIN,33,0.98564453125,-1019.19260246,-2019.33245212,0.90000851135,33,1,1,CONVERGED_FEASIBLE,0.9857421875,-1019.28128293,-2019.5139165,0.899999633273,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.201974121095
1,2012-10-15 13:00:00,ADAPTIVE,295,290,300,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.23427734375,BINDING_VMIN,33,1.23427734375,701.702685078,-2725.36646392,0.900004802227,33,1,1,CONVERGED_FEASIBLE,1.234375,701.768025952,-2725.56723565,0.89999755989,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.211136731986
1,2012-10-15 13:00:00,ADAPTIVE,305,300,310,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.4623046875,BINDING_VMIN,33,1.4623046875,1203.76072351,-2905.06007387,0.900004537083,33,1,1,CONVERGED_FEASIBLE,1.4625,1203.93808444,-2905.42300262,0.899992103339,33,1,1,CONVERGED_INFEASIBLE,41,8,0,0.403948242189
1,2012-10-15 13:00:00,ADAPTIVE,315,310,320,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.8490234375,BINDING_VMIN,33,1.8490234375,1945.82940098,-3153.69701391,0.900000084652,33,1.02318285341,13,CONVERGED_FEASIBLE,1.84912109375,1945.93872653,-3153.85365722,0.899995019245,33,1.02318453273,13,CONVERGED_INFEASIBLE,41,9,0,0.191021476627
1,2012-10-15 13:00:00,ADAPTIVE,325,320,330,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_UNBOUNDED_WITHIN_GUARD,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,NaN,RAY_UNBOUNDED_WITHIN_GUARD,,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,NaN,,,41,0,0,NaN
1,2012-10-15 13:00:00,ADAPTIVE,335,330,340,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.4943359375,BINDING_VMAX,13,1.4943359375,2020.03616646,-1620.40712861,0.959514047879,33,1.04999331751,13,CONVERGED_FEASIBLE,1.49453125,2020.31641438,-1620.5943714,0.959510814896,33,1.05000139284,13,CONVERGED_INFEASIBLE,41,8,0,0.337044148274
1,2012-10-15 13:00:00,ADAPTIVE,345,340,350,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.235546875,BINDING_VMAX,13,1.235546875,1765.32781888,-913.220390538,0.980634740735,33,1.04999823803,13,CONVERGED_FEASIBLE,1.2357421875,1765.62650184,-913.335061403,0.980634466585,33,1.05000826462,13,CONVERGED_INFEASIBLE,41,8,0,0.319938934012
2,2011-12-15 05:30:00,ADAPTIVE,55,50,60,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0298828125,BINDING_VMAX,30,1.0298828125,810.80308036,1725.59831468,1,1,1.04999646007,30,CONVERGED_FEASIBLE,1.030078125,810.980432547,1725.96124343,1,1,1.05000857312,30,CONVERGED_INFEASIBLE,41,8,0,0.403944399502
2,2011-12-15 05:30:00,ADAPTIVE,105,100,110,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1654296875,BINDING_VMAX,30,1.1654296875,-601.901540809,2365.49736354,0.989712084133,18,1.04999652034,30,CONVERGED_FEASIBLE,1.165625,-601.981568719,2365.92532104,0.98971342312,18,1.0500071211,30,CONVERGED_INFEASIBLE,41,8,0,0.435375794741
2,2011-12-15 05:30:00,ADAPTIVE,115,110,120,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.3458984375,BINDING_VMAX,30,1.3458984375,-1024.85849179,2578.9110575,0.971950715245,18,1.04999596893,30,CONVERGED_FEASIBLE,1.34609375,-1024.98916709,2579.31260097,0.97194912704,18,1.05000502954,30,CONVERGED_INFEASIBLE,41,8,0,0.422271468345
2,2011-12-15 05:30:00,ADAPTIVE,125,120,130,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.66796875,BINDING_VMAX,30,1.66796875,-1638.96267424,2911.2865508,0.944555441517,18,1.04999892383,30,CONVERGED_FEASIBLE,1.6681640625,-1639.14002643,2911.64947955,0.944550478425,18,1.0500060055,30,CONVERGED_INFEASIBLE,41,8,0,0.403944399502
2,2011-12-15 05:30:00,ADAPTIVE,135,130,140,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,NaN,RAY_UNBOUNDED_WITHIN_GUARD,,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,NaN,NaN,,NaN,,,41,0,0,NaN
2,2011-12-15 05:30:00,ADAPTIVE,145,140,150,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.59033203125,BINDING_VMIN,18,1.59033203125,-2186.74951218,1881.09146603,0.900004524606,18,1.01212906798,30,CONVERGED_FEASIBLE,1.5904296875,-2186.87615476,1881.21852875,0.899998745228,18,1.01213056112,30,CONVERGED_INFEASIBLE,41,9,0,0.179396991321
2,2011-12-15 05:30:00,ADAPTIVE,155,150,160,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.29677734375,BINDING_VMIN,18,1.29677734375,-1984.98920756,1055.07354093,0.900003508994,18,1,1,CONVERGED_FEASIBLE,1.296875,-1985.1293246,1055.16716232,0.89999662901,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.168516324796
2,2011-12-15 05:30:00,ADAPTIVE,165,160,170,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.1177734375,BINDING_VMIN,18,1.1177734375,-1833.6532648,468.136359081,0.900001354769,18,1,1,CONVERGED_FEASIBLE,1.11787109375,-1833.80259892,468.193694514,0.899993510778,18,1,1,CONVERGED_INFEASIBLE,41,9,0,0.159962587205
2,2011-12-15 05:30:00,ADAPTIVE,235,230,240,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.98564453125,BINDING_VMIN,33,0.98564453125,-1019.38281008,-2019.64495212,0.900005387487,33,1,1,CONVERGED_FEASIBLE,0.9857421875,-1019.47148617,-2019.8264165,0.899996509325,33,1,1,CONVERGED_INFEASIBLE,41,9,0,0.201972199751
2,2011-12-15 05:30:00,ADAPTIVE,295,290,300,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.2341796875,BINDING_VMIN,33,1.2341796875,701.362220229,-2725.47819218,0.900007749174,33,1,1,CONVERGED_FEASIBLE,1.234375,701.492895529,-2725.87973565,0.899993264312,33,1,1,CONVERGED_INFEASIBLE,41,8,0,0.422271468345
