selection_index,timestamp,level,angle_deg,parent_start_angle_deg,parent_end_angle_deg,adaptive_triggers,status,no_reentry_statement,official_boundary_r,binding_mechanism,binding_bus,safe_r,safe_p13_abs_kw,safe_p30_abs_kw,safe_vmin_pu,safe_vmin_bus,safe_vmax_pu,safe_vmax_bus,safe_solver_status,violating_r,violating_p13_abs_kw,violating_p30_abs_kw,violating_vmin_pu,violating_vmin_bus,violating_vmax_pu,violating_vmax_bus,violating_solver_status,sweep_point_count,refinement_steps,unresolved_point_count,bracket_width_kw
1,2012-10-15 13:00:00,BASE,0,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0384765625,BINDING_VMAX,13,1.0384765625,1519.97871399,-187.8125,0.99942859229,22,1.0499909936,13,CONVERGED_FEASIBLE,1.038671875,1520.28793335,-187.8125,0.999428746518,22,1.05000310128,13,CONVERGED_INFEASIBLE,41,8,0,0.309219360351
1,2012-10-15 13:00:00,BASE,10,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.97509765625,BINDING_VMAX,13,0.97509765625,1396.1835801,196.288254853,0.999581820777,22,1.04999507603,13,CONVERGED_FEASIBLE,0.9751953125,1396.33584091,196.32672263,0.999581917963,22,1.05000155009,13,CONVERGED_INFEASIBLE,41,9,0,0.157044976574
1,2012-10-15 13:00:00,BASE,20,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.94794921875,BINDING_VMAX,13,0.94794921875,1286.14645699,547.655151594,0.999718335609,22,1.0499959316,13,CONVERGED_FEASIBLE,0.948046875,1286.29174257,547.730918324,0.999718448872,22,1.05000260296,13,CONVERGED_INFEASIBLE,41,9,0,0.163855106408
1,2012-10-15 13:00:00,BASE,30,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.951953125,BINDING_VMAX,13,0.951953125,1181.07671253,891.910583496,0.999848851617,22,1.04999203549,13,CONVERGED_FEASIBLE,0.9521484375,1181.34450436,892.132110596,0.999849101638,22,1.05000532282,13,CONVERGED_INFEASIBLE,41,8,0,0.347543832449
1,2012-10-15 13:00:00,BASE,40,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.987890625,BINDING_VMAX,13,0.987890625,1073.97703333,1252.65405387,0.999982478558,22,1.04999331085,13,CONVERGED_FEASIBLE,0.9880859375,1074.2139091,1252.93884362,0.999982742787,22,1.0500060966,13,CONVERGED_INFEASIBLE,41,8,0,0.370425880865
1,2012-10-15 13:00:00,BASE,50,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0623046875,BINDING_VMAX,13,1.0623046875,956.927924516,1658.17978857,1,1,1.04999635148,13,CONVERGED_FEASIBLE,1.0625,957.12668689,1658.51918778,1,1,1.05000820228,13,CONVERGED_INFEASIBLE,41,8,0,0.393317051559
1,2012-10-15 13:00:00,BASE,60,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.00419921875,BINDING_VMAX,30,1.00419921875,670.785045624,1784.96147002,1,1,1.04999558685,30,CONVERGED_FEASIBLE,1.004296875,670.862350464,1785.15331812,1,1,1.05000180295,30,CONVERGED_INFEASIBLE,41,9,0,0.20683744873
1,2012-10-15 13:00:00,BASE,70,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.97900390625,BINDING_VMAX,30,0.97900390625,405.977615357,1899.06549259,0.999966234009,22,1.0499949311,30,CONVERGED_FEASIBLE,0.9791015625,406.030494982,1899.27365997,0.999966365595,22,1.05000131093,30,CONVERGED_INFEASIBLE,41,9,0,0.214778753999
1,2012-10-15 13:00:00,BASE,80,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,0.985546875,BINDING_VMAX,30,0.985546875,146.806254529,2013.87441965,0.999884917056,22,1.04999187521,30,CONVERGED_FEASIBLE,0.9857421875,146.859949908,2014.31074286,0.999885163436,22,1.05000454099,30,CONVERGED_INFEASIBLE,41,8,0,0.439614760437
1,2012-10-15 13:00:00,BASE,90,NaN,NaN,BASE_PREREGISTERED,RAY_CERTIFIED_BOUNDARY,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1.0251953125,BINDING_VMAX,30,1.0251953125,-124.140625,2137.7789917,0.999797771371,22,1.04999575167,30,CONVERGED_FEASIBLE,1.025390625,-124.140625,2138.2220459,0.999797991983,22,1.0500079015,30,CONVERGED_INFEASIBLE,41,8,0,0.443054199219
