selection_index,timestamp,search_kind,search_id,level,endpoint_side,coordinate,radius,p13_abs_kw,p30_abs_kw,vmin_pu,vmin_bus,vmax_pu,vmax_bus,solver_status,binding_mechanism,binding_bus,official_boundary
1,2012-10-15 13:00:00,AXIS,P13_POSITIVE,AXIS,SAFE,1459.0625,NaN,1459.0625,0,0.999504096132,22,1.04999686184,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,AXIS,P13_POSITIVE,AXIS,VIOLATING,1459.375,NaN,1459.375,0,0.99950425201,22,1.05000912935,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,AXIS,P13_NEGATIVE,AXIS,SAFE,1707.34375,NaN,-1707.34375,0,0.900004186133,18,1,1,CONVERGED_FEASIBLE,BINDING_VMIN,18,true
1,2012-10-15 13:00:00,AXIS,P13_NEGATIVE,AXIS,VIOLATING,1707.5,NaN,-1707.5,0,0.89999512761,18,1,1,CONVERGED_INFEASIBLE,BINDING_VMIN,18,false
1,2012-10-15 13:00:00,AXIS,P30_POSITIVE,AXIS,SAFE,2080.625,NaN,0,2080.625,0.99983803972,22,1.04999645743,30,CONVERGED_FEASIBLE,BINDING_VMAX,30,true
1,2012-10-15 13:00:00,AXIS,P30_POSITIVE,AXIS,VIOLATING,2080.9375,NaN,0,2080.9375,0.999838195336,22,1.05000503897,30,CONVERGED_INFEASIBLE,BINDING_VMAX,30,false
1,2012-10-15 13:00:00,AXIS,P30_NEGATIVE,AXIS,SAFE,2456.25,NaN,0,-2456.25,0.90000077491,33,1,1,CONVERGED_FEASIBLE,BINDING_VMIN,33,true
1,2012-10-15 13:00:00,AXIS,P30_NEGATIVE,AXIS,VIOLATING,2456.40625,NaN,0,-2456.40625,0.899994437659,33,1,1,CONVERGED_INFEASIBLE,BINDING_VMIN,33,false
1,2012-10-15 13:00:00,RAY,0.000000,BASE,SAFE,1.0384765625,1.0384765625,1519.97871399,-187.8125,0.99942859229,22,1.0499909936,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,RAY,0.000000,BASE,VIOLATING,1.038671875,1.038671875,1520.28793335,-187.8125,0.999428746518,22,1.05000310128,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,RAY,10.000000,BASE,SAFE,0.97509765625,0.97509765625,1396.1835801,196.288254853,0.999581820777,22,1.04999507603,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,RAY,10.000000,BASE,VIOLATING,0.9751953125,0.9751953125,1396.33584091,196.32672263,0.999581917963,22,1.05000155009,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,RAY,20.000000,BASE,SAFE,0.94794921875,0.94794921875,1286.14645699,547.655151594,0.999718335609,22,1.0499959316,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,RAY,20.000000,BASE,VIOLATING,0.948046875,0.948046875,1286.29174257,547.730918324,0.999718448872,22,1.05000260296,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,RAY,30.000000,BASE,SAFE,0.951953125,0.951953125,1181.07671253,891.910583496,0.999848851617,22,1.04999203549,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,RAY,30.000000,BASE,VIOLATING,0.9521484375,0.9521484375,1181.34450436,892.132110596,0.999849101638,22,1.05000532282,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,RAY,40.000000,BASE,SAFE,0.987890625,0.987890625,1073.97703333,1252.65405387,0.999982478558,22,1.04999331085,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,RAY,40.000000,BASE,VIOLATING,0.9880859375,0.9880859375,1074.2139091,1252.93884362,0.999982742787,22,1.0500060966,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,RAY,50.000000,BASE,SAFE,1.0623046875,1.0623046875,956.927924516,1658.17978857,1,1,1.04999635148,13,CONVERGED_FEASIBLE,BINDING_VMAX,13,true
1,2012-10-15 13:00:00,RAY,50.000000,BASE,VIOLATING,1.0625,1.0625,957.12668689,1658.51918778,1,1,1.05000820228,13,CONVERGED_INFEASIBLE,BINDING_VMAX,13,false
1,2012-10-15 13:00:00,RAY,60.000000,BASE,SAFE,1.00419921875,1.00419921875,670.785045624,1784.96147002,1,1,1.04999558685,30,CONVERGED_FEASIBLE,BINDING_VMAX,30,true
1,2012-10-15 13:00:00,RAY,60.000000,BASE,VIOLATING,1.004296875,1.004296875,670.862350464,1785.15331812,1,1,1.05000180295,30,CONVERGED_INFEASIBLE,BINDING_VMAX,30,false
1,2012-10-15 13:00:00,RAY,70.000000,BASE,SAFE,0.97900390625,0.97900390625,405.977615357,1899.06549259,0.999966234009,22,1.0499949311,30,CONVERGED_FEASIBLE,BINDING_VMAX,30,true
1,2012-10-15 13:00:00,RAY,70.000000,BASE,VIOLATING,0.9791015625,0.9791015625,406.030494982,1899.27365997,0.999966365595,22,1.05000131093,30,CONVERGED_INFEASIBLE,BINDING_VMAX,30,false
1,2012-10-15 13:00:00,RAY,80.000000,BASE,SAFE,0.985546875,0.985546875,146.806254529,2013.87441965,0.999884917056,22,1.04999187521,30,CONVERGED_FEASIBLE,BINDING_VMAX,30,true
1,2012-10-15 13:00:00,RAY,80.000000,BASE,VIOLATING,0.9857421875,0.9857421875,146.859949908,2014.31074286,0.999885163436,22,1.05000454099,30,CONVERGED_INFEASIBLE,BINDING_VMAX,30,false
