selection_index,timestamp,center_tier,center_source,contractions,p13_abs_kw,p30_abs_kw,solver_status,vmin_pu,vmin_bus,vmax_pu,vmax_bus,logical_evaluation_id,s0_evidence_sha256
1,2012-10-15 13:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-124.140625,-187.8125,CONVERGED_FEASIBLE,0.978971200355,18,1,1,225,65ebbf358c29cb95f781c6d42ba8a3fd994a75df49848f75e30d25924749e988
2,2011-12-15 05:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-124.375,-188.125,CONVERGED_FEASIBLE,0.978967314675,18,1,1,224,a024c2cdf6cdd4bc3cf02ccc6224840b182ed002ce1525c594475db2dd113765
3,2011-02-06 00:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,461.953125,628.59375,CONVERGED_FEASIBLE,0.987136108396,33,1,1,224,94d3bb8855d6b554b6fe04904129be27d757d0dfada086a7ed27f2c4f8bc8392
4,2010-12-21 11:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-71.015625,-113.671875,CONVERGED_FEASIBLE,0.979876134826,18,1,1,226,6587f62f285835475fa9c60ef4c95fd362e9183f909624694991f69fadbae8aa
5,2011-02-05 11:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,942.890625,1298.4375,CONVERGED_FEASIBLE,0.985312707803,25,1.00208070209,13,222,b4febeae4f53b128da43e5cf9cbe5a7c5e6f1cce4c3809bb3b1c326cfc02374c
6,2010-12-21 12:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-62.109375,-101.25,CONVERGED_FEASIBLE,0.980030405868,18,1,1,225,517fc33e7eeb75534c246bb3085e956d0c353e563a22b4aa01e2d9724643a9e9
7,2011-02-05 17:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,1316.25,1818.125,CONVERGED_FEASIBLE,0.982218532556,25,1.00948209617,13,217,5a154de6622c4427fe3123624aa7ca7b4c3c4b2310d488a13546976f814dfd31
8,2011-01-21 18:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,274.21875,366.875,CONVERGED_FEASIBLE,0.984882424836,33,1,1,225,e6003d197fbc67823d4c8df12cb634e44d65caef6ee690160ebe2c56cec6c27b
9,2011-02-05 18:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,1366.015625,1887.34375,CONVERGED_FEASIBLE,0.981808691514,25,1.01046153705,13,218,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3
10,2013-04-17 05:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-171.875,-254.296875,CONVERGED_FEASIBLE,0.978155579335,18,1,1,225,ad068dd8d0f78e266354d2ab4cb6da41e79918783540a61c0e72a7053bf023cc
