distribution_type,metric,category,count,minimum,q05,q25,median,q75,q95,maximum,mean
NUMERIC,AXIS_P13_POSITIVE_P_PCC_KW,,32,1410.3125,1454.8125,1512.3828125,1689.84375,2237.8125,2719.234375,2979.53125,1869.81933594
NUMERIC,AXIS_P13_NEGATIVE_P_PCC_KW,,32,-1754.0625,-1711.3671875,-1656.171875,-1485.859375,-959.84375,-497.4296875,-247.5,-1313.02246094
NUMERIC,AXIS_P30_POSITIVE_P_PCC_KW,,32,2011.875,2074.6875,2155.859375,2405.9375,3178.125,3856.765625,4223.4375,2659.5703125
NUMERIC,AXIS_P30_NEGATIVE_P_PCC_KW,,32,-2520.46875,-2461.765625,-2385.7421875,-2151.484375,-1428.203125,-792.171875,-448.75,-1913.89648438
NUMERIC,P13_AXIS_WIDTH_KW,,32,3164.375,3166.1796875,3168.5546875,3175.625,3197.65625,3216.6640625,3227.03125,3182.84179688
NUMERIC,P30_AXIS_WIDTH_KW,,32,4532.34375,4536.453125,4541.6015625,4557.421875,4606.328125,4648.9375,4672.1875,4573.46679688
NUMERIC,TOTAL_AXIS_WIDTH_KW,,32,7696.71875,7702.6328125,7710.15625,7733.125,7803.984375,7865.6015625,7899.21875,7756.30859375
NUMERIC,CENTER_P13_ABS_KW,,32,-171.875,-128.27734375,-71.89453125,101.9921875,638.984375,1110.90234375,1366.015625,278.3984375
NUMERIC,CENTER_P30_ABS_KW,,32,-254.296875,-193.5390625,-114.94140625,127.2265625,874.9609375,1532.296875,1887.34375,372.836914062
NUMERIC,BASE_RAY_BOUNDARY_R,,1118,0.56171875,0.780854492188,0.9501953125,1.04243164063,1.24255371094,1.78200683594,1.9830078125,1.13064467101
NUMERIC,ADAPTIVE_RAY_BOUNDARY_R,,443,0.664453125,0.91732421875,1.13237304687,1.32080078125,1.5697265625,1.8981640625,1.996484375,1.35346029381
NUMERIC,RETRIES_PER_TIMESTAMP,,32,0,0,0,0,10,11,11,4.46875
NUMERIC,UNRESOLVED_PER_TIMESTAMP,,32,0,0,0,0,0,0,0,0
NUMERIC,GUARD_LIMITED_PER_TIMESTAMP,,32,2,2,2,2,2,3.45,4,2.28125
NUMERIC,REENTRY_PER_TIMESTAMP,,32,0,0,0,0,0,0,0,0
NUMERIC,RUNTIME_SECONDS_PER_TIMESTAMP,,32,1.10299992561,1.10964994431,1.13400000334,1.24000000954,1.41825008392,1.78949990273,6.72000002861,1.46021874249
NUMERIC,ACTUAL_EVALUATIONS_PER_TIMESTAMP,,32,2709,2713.85,2724.5,2729,2736,2752.55,2766,2730.375
CATEGORY,CENTER_TIER,CENTER_TIER_1_AXIS_MIDPOINT,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,AXIS_STATUS,AXIS_CERTIFIED_BOUNDARY,128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_MECHANISM,BINDING_VMAX,851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_MECHANISM,BINDING_VMIN,838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_MECHANISM,RAY_UNBOUNDED_WITHIN_GUARD,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_BUS,13,429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_BUS,18,435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_BUS,30,422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CATEGORY,BINDING_BUS,33,403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
