selection_index,timestamp,axis,axis_bus,signed_direction,status,transition_scale_kw,coarse_delta_kw,coarse_extent_kw,no_reentry_statement,official_boundary_p_pcc_kw,binding_mechanism,binding_bus,safe_coordinate,safe_p13_abs_kw,safe_p30_abs_kw,safe_vmin_pu,safe_vmin_bus,safe_vmax_pu,safe_vmax_bus,safe_solver_status,violating_coordinate,violating_p13_abs_kw,violating_p30_abs_kw,violating_vmin_pu,violating_vmin_bus,violating_vmax_pu,violating_vmax_bus,violating_solver_status,doubling_point_count,sweep_point_count,refinement_steps,unresolved_point_count,bracket_width_kw
1,2012-10-15 13:00:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1459.0625,BINDING_VMAX,13,1459.0625,1459.0625,0,0.999504096132,22,1.04999686184,13,CONVERGED_FEASIBLE,1459.375,1459.375,0,0.99950425201,22,1.05000912935,13,CONVERGED_INFEASIBLE,5,41,8,0,0.3125
1,2012-10-15 13:00:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1707.34375,BINDING_VMIN,18,1707.34375,-1707.34375,0,0.900004186133,18,1,1,CONVERGED_FEASIBLE,1707.5,-1707.5,0,0.89999512761,18,1,1,CONVERGED_INFEASIBLE,6,41,10,10,0.15625
1,2012-10-15 13:00:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2080.625,BINDING_VMAX,30,2080.625,0,2080.625,0.99983803972,22,1.04999645743,30,CONVERGED_FEASIBLE,2080.9375,0,2080.9375,0.999838195336,22,1.05000503897,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
1,2012-10-15 13:00:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2456.25,BINDING_VMIN,33,2456.25,0,-2456.25,0.90000077491,33,1,1,CONVERGED_FEASIBLE,2456.40625,0,-2456.40625,0.899994437659,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
2,2011-12-15 05:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1458.75,BINDING_VMAX,13,1458.75,1458.75,0,0.999505056384,22,1.04999392069,13,CONVERGED_FEASIBLE,1459.0625,1459.0625,0,0.999505212265,22,1.05000618838,13,CONVERGED_INFEASIBLE,5,41,8,0,0.3125
2,2011-12-15 05:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1707.5,BINDING_VMIN,18,1707.5,-1707.5,0,0.900008343609,18,1,1,CONVERGED_FEASIBLE,1707.8125,-1707.8125,0,0.899990226326,18,1,1,CONVERGED_INFEASIBLE,6,41,9,10,0.3125
2,2011-12-15 05:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2080.3125,BINDING_VMAX,30,2080.3125,0,2080.3125,0.999838996506,22,1.04999707105,30,CONVERGED_FEASIBLE,2080.625,0,2080.625,0.999839152123,22,1.05000565265,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
2,2011-12-15 05:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2456.5625,BINDING_VMIN,33,2456.5625,0,-2456.5625,0.900000813856,33,1,1,CONVERGED_FEASIBLE,2456.71875,0,-2456.71875,0.899994476535,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
3,2011-02-06 00:00:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2057.1875,BINDING_VMAX,13,2057.1875,2057.1875,0,0.987063533619,33,1.0499959153,13,CONVERGED_FEASIBLE,2057.5,2057.5,0,0.987067139272,33,1.05000793227,13,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
3,2011-02-06 00:00:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1133.28125,BINDING_VMIN,18,1133.28125,-1133.28125,0,0.900001350055,18,1,1,CONVERGED_FEASIBLE,1133.4375,-1133.4375,0,0.899992556184,18,1,1,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
