selection_index,timestamp,runtime_seconds,logical_evaluations,actual_evaluations,retry_count,nonconverged_attempt_count,axis_unresolved_count,axis_guard_limited_count,axis_reentry_count,ray_unresolved_count,ray_guard_limited_count,ray_reentry_count,base_direction_count,adaptive_direction_count,center_tier
1,2012-10-15 13:00:00,6.72000002861,2721,2731,10,20,0,0,0,0,3,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
2,2011-12-15 05:30:00,1.44199991226,2720,2730,10,20,0,0,0,0,3,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
3,2011-02-06 00:00:00,1.13700008392,2710,2710,0,0,0,0,0,0,4,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
4,2010-12-21 11:30:00,1.39700007439,2734,2744,10,20,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
5,2011-02-05 11:30:00,1.13100004196,2727,2727,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
6,2010-12-21 12:00:00,1.42499995232,2723,2733,10,20,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
7,2011-02-05 17:30:00,1.65899991989,2766,2766,0,0,0,0,0,0,2,0,36,16,CENTER_TIER_1_AXIS_MIDPOINT
8,2011-01-21 18:00:00,1.28299999237,2728,2728,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
9,2011-02-05 18:00:00,1.17499995232,2763,2763,0,0,0,0,0,0,2,0,36,16,CENTER_TIER_1_AXIS_MIDPOINT
10,2013-04-17 05:30:00,1.37599992752,2718,2728,10,20,0,0,0,0,3,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
11,2013-04-07 02:00:00,1.13000011444,2729,2729,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
12,2011-03-08 11:30:00,1.38700008392,2726,2736,10,20,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
13,2011-05-16 07:30:00,1.10799980164,2730,2730,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
14,2011-03-08 12:30:00,1.39199995995,2732,2742,10,20,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
15,2011-05-11 17:30:00,1.13499999046,2720,2720,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
16,2011-03-04 18:00:00,1.14499998093,2729,2729,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
17,2011-05-11 18:00:00,1.13999986649,2725,2725,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
18,2012-08-04 03:30:00,1.41600012779,2718,2728,10,20,0,0,0,0,3,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
19,2010-07-03 00:00:00,1.1970000267,2723,2723,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
20,2012-08-31 11:30:00,1.94899988174,2722,2732,10,20,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
21,2010-07-01 07:30:00,1.11100006104,2709,2709,0,0,0,0,0,0,4,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
22,2012-08-24 12:00:00,1.40000009537,2729,2739,10,20,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
23,2010-07-02 17:30:00,1.10299992561,2717,2717,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
24,2012-08-05 23:30:00,1.44500017166,2725,2736,11,22,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
25,2010-07-02 18:00:00,1.15100002289,2725,2725,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
26,2011-09-30 05:30:00,1.41600012779,2718,2728,10,20,0,0,0,0,3,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
27,2011-09-11 00:00:00,1.4319999218,2725,2736,11,22,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
28,2011-09-30 11:30:00,1.42599987984,2725,2736,11,22,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
29,2012-09-03 07:00:00,1.11199998856,2722,2722,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
30,2011-11-14 17:30:00,1.1289999485,2719,2719,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
31,2010-11-26 18:00:00,1.13599991798,2729,2729,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
32,2011-11-14 19:30:00,1.12199997902,2722,2722,0,0,0,0,0,0,2,0,36,15,CENTER_TIER_1_AXIS_MIDPOINT
