selection_index,timestamp,root_voltage_pu,minimum_voltage_pu,minimum_voltage_bus,maximum_voltage_pu,maximum_voltage_bus,operational_solver_status,solution_source,primal_available,numerical_validation_passed,s0_operational_voltage_feasible_095_105,production_voltage_feasible_090_105,absolute_pcc_origin_p13_kw,absolute_pcc_origin_p30_kw,s0_source_sha256,s0_row_sha256
1,2012-10-15 13:00:00,1,0.98730595284058,18,1,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,65ebbf358c29cb95f781c6d42ba8a3fd994a75df49848f75e30d25924749e988
2,2011-12-15 05:30:00,1,0.987317203346251,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,a024c2cdf6cdd4bc3cf02ccc6224840b182ed002ce1525c594475db2dd113765
3,2011-02-06 00:00:00,1,0.958661544523571,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,94d3bb8855d6b554b6fe04904129be27d757d0dfada086a7ed27f2c4f8bc8392
4,2010-12-21 11:30:00,1,0.984732561018401,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,6587f62f285835475fa9c60ef4c95fd362e9183f909624694991f69fadbae8aa
5,2011-02-05 11:30:00,1,0.934643517400293,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,b4febeae4f53b128da43e5cf9cbe5a7c5e6f1cce4c3809bb3b1c326cfc02374c
6,2010-12-21 12:00:00,1,0.984303571730969,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,517fc33e7eeb75534c246bb3085e956d0c353e563a22b4aa01e2d9724643a9e9
7,2011-02-05 17:30:00,1,0.915644054996629,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,5a154de6622c4427fe3123624aa7ca7b4c3c4b2310d488a13546976f814dfd31
8,2011-01-21 18:00:00,1,0.967910795892461,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,e6003d197fbc67823d4c8df12cb634e44d65caef6ee690160ebe2c56cec6c27b
9,2011-02-05 18:00:00,1,0.913090479358158,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9680bde17c4cb03265393ea25f9a1c93eb4ed9ecc3fc8218bc7c29c1e33fa0d3
10,2013-04-17 05:30:00,1,0.989612067994236,18,1,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,ad068dd8d0f78e266354d2ab4cb6da41e79918783540a61c0e72a7053bf023cc
11,2013-04-07 02:00:00,1,0.978211943347706,18,1,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,26f1759f8915b493001091e4c5834ee05c5059108f015b68db474ec092500ebd
12,2011-03-08 11:30:00,1,0.984909775605267,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,2e09a372da78ac0b9e48cc938fec7f9a3525b9cba865d2fd6204a53e3a7f296a
13,2011-05-16 07:30:00,1,0.966540920630026,18,1,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,d7d53ffc844ea385f2cc7c28ac85d91f2f779839d8ea850b65d9ea1a7b4489be
14,2011-03-08 12:30:00,1,0.983574967508932,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9e5c13025d02c45236b833fc474e33bb0fabc2b2743ba4ed07c0619bd8b64c45
15,2011-05-11 17:30:00,1,0.9499145855422,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,0bf63e84fe229a9b8259179d31fe08d4403c4edc95d438615355ad0e1741e9b6
