selection_index,slot_index,timestamp,season,daypart,stress_mode,rank_within_slot,load_multiplier,pv_factor,selection_basis,mandatory_anchor,dense_probe,profile_row_sha256
1,29,2012-10-15 13:00:00,SPRING,AFTERNOON,EXPORT,0,0.15594037439888725,0.91495687390211622,MANDATORY_REFERENCE_ANCHOR,true,true,e8b1ab7805b93b2ee0bde9d1e0d9a96dc114f4a745b48fe6e7adac28768b2970
2,1,2011-12-15 05:30:00,SUMMER,NIGHT,EXPORT,1,0.15580366244138794,0.0012736229423790165,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,a6bc8f767e0bcd66596811c711ca4218fab7bb39e26346b2f94a709e5c66ef2e
3,2,2011-02-06 00:00:00,SUMMER,NIGHT,IMPORT,1,0.49541775096837681,0.00022478538112590292,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,107defd3c60db6390dc141a0f3ddcc8b97e60fe6d4ff2f2e2f3bc9ba7f27c63b
4,3,2010-12-21 11:30:00,SUMMER,MORNING,EXPORT,1,0.18714188062887499,0.98182413080179209,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,8ff7a01a46919850669180defd75d04f45c3d8ab445d2188701973d31301b450
5,4,2011-02-05 11:30:00,SUMMER,MORNING,IMPORT,1,0.766795783515417,0.86472243826556849,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,c21b00727da057679a8a8b8f03e6ffe1c75ce86639d9da4b19e8f7ab7965ec6d
6,5,2010-12-21 12:00:00,SUMMER,AFTERNOON,EXPORT,1,0.19232973964766703,1,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,3c3f454b712940f50e31fd37c4fb7ba24f4b714c03333524156435039b9f8575
7,6,2011-02-05 17:30:00,SUMMER,AFTERNOON,IMPORT,1,0.97288066485183533,0.26424641735168247,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,0bf0d81d9cbe02407c15fc9eeb390ae09e48587157a66e8837f8defba8997a40
8,7,2011-01-21 18:00:00,SUMMER,EVENING,EXPORT,1,0.38768153309268832,0.18318922872628104,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,453c75c0f5d11ebcf04eaac488c16e9e990b448b032f4437e6f493b6d95e4e7f
9,8,2011-02-05 18:00:00,SUMMER,EVENING,IMPORT,1,1,0.15683108117150052,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,5a0cd4fdd31e69eb226051beb6a93a6891aaf85406cbe8ac2108412f8ba78f3e
10,9,2013-04-17 05:30:00,AUTUMN,NIGHT,EXPORT,1,0.12786165709283218,0.00059235732347296983,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,ea12694aea539f79a5784abecf1403519045fd69dbe5ce6664b6d0e4289e1110
11,10,2013-04-07 02:00:00,AUTUMN,NIGHT,IMPORT,1,0.26558096585798774,0.00019046387444386181,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,222e1510ddeb3fbd2b7615709810afe5d7b368423107c29637457a58f5909a9d
12,11,2011-03-08 11:30:00,AUTUMN,MORNING,EXPORT,1,0.18499766150599023,0.88400084146854674,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,142c69866aa637d61ff28c01c11ed496025951581aa9d355fb0c7777493f910b
13,12,2011-05-16 07:30:00,AUTUMN,MORNING,IMPORT,1,0.40375118423735157,0.1338814375458999,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,17ed7abe1140808e06478099550e29be8d74748ab96d59b18da85e02af3047e0
14,13,2011-03-08 12:30:00,AUTUMN,AFTERNOON,EXPORT,1,0.20113207094631075,0.91070051956239062,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,2e58d07a4df5e6aa9f4acd9e8651b17cdaf0ac67ff83486c020f2d7e5c827ceb
15,14,2011-05-11 17:30:00,AUTUMN,AFTERNOON,IMPORT,1,0.59565160036936249,0.00028891970844664613,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,ea941c14b8837c747f88c5d5d14b3fdcc8f080e6b222fa76358904c128ded007
16,15,2011-03-04 18:00:00,AUTUMN,EVENING,EXPORT,1,0.31052322304435936,0.10713847029499528,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,772d4e03d4acfdfd2a4e3d17db5589b1fafc045fb29f610f292167a0c885e7cb
17,16,2011-05-11 18:00:00,AUTUMN,EVENING,IMPORT,1,0.60200750716538598,0.00017956058386973343,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,c7569c9fbcc81d54aceb9b8ef4280bcfffa527a19b1caad507dda238249b6ce2
18,17,2012-08-04 03:30:00,WINTER,NIGHT,EXPORT,1,0.15069495245062187,0.0060275810052341913,PV_FACTOR_DESC_LOAD_MULTIPLIER_ASC_TIMESTAMP_ASC,false,true,3b05fe5f2907451a230368abc5349c1b81ab0028e521bc0dc25444f4c3fe6766
19,18,2010-07-03 00:00:00,WINTER,NIGHT,IMPORT,1,0.26347032511062868,0.00013434820525477426,LOAD_MULTIPLIER_DESC_PV_FACTOR_ASC_TIMESTAMP_ASC,false,true,de2008e8ae50511be71f229be683de11a05c0df7883fa08538dda1d59f5905d8
