point_id,timestamp,P13_VPP_kW,P30_VPP_kW,old_actual_PV_kW,new_actual_PV_kW,old_power_flow_status,new_power_flow_status,old_voltage_status,new_voltage_status,old_Vmin_pu,new_Vmin_pu,old_Vmax_pu,new_Vmax_pu,delta_Vmin_pu,delta_Vmax_pu,old_P_sub_kW,new_P_sub_kW,delta_P_sub_kW,label_changed
1,2012-10-15 00:00:00,0,0,0,0.0270705851706,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.98833988186,0.98834111464,1,1,1.23277998587e-06,0,536.292807618,536.265318942,-0.0274886759908,false
2,2012-10-15 00:30:00,0,0,0,0.108869895429,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.988800347104,0.988805301242,1,1,4.95413758361e-06,0,515.175099276,515.064616081,-0.110483194953,false
3,2012-10-15 01:00:00,0,0,0,0.124428011123,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.989370401311,0.989376058171,1,1,5.65686036902e-06,0,489.024498277,488.898322152,-0.126176124651,false
4,2012-10-15 01:30:00,0,0,0,0.134869522546,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.989876822715,0.98988294923,1,1,6.12651472576e-06,0,465.786527417,465.649855075,-0.136672341517,false
5,2012-10-15 02:00:00,0,0,0,0.0591834386779,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.989437071218,0.989439761588,1,1,2.69037034883e-06,0,485.965588016,485.905578232,-0.0600097843394,false
6,2012-10-15 02:30:00,0,0,0,0.117515343839,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.990072314138,0.990077650641,1,1,5.33650285661e-06,0,456.814461524,456.695406122,-0.119055402095,false
7,2012-10-15 03:00:00,0,0,0,0.108046552506,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.989828676574,0.989833585034,1,1,4.90845950785e-06,0,467.996052602,467.886554646,-0.10949795621,false
8,2012-10-15 03:30:00,0,0,0,0.0406058777559,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.990374950937,0.990376793998,1,1,1.84306110262e-06,0,442.923182615,442.88206095,-0.041121665468,false
9,2012-10-15 04:00:00,0,0,0,0.0308159205619,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.990526701191,0.990528099551,1,1,1.39836046265e-06,0,435.956905399,435.925704307,-0.0312010919868,false
10,2012-10-15 04:30:00,0,0,0,0.0735546471349,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.99068547647,0.990688813355,1,1,3.33688521303e-06,0,428.667553122,428.593094917,-0.0744582050798,false
11,2012-10-15 05:00:00,0,0,0,0.0907251325859,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.989767751266,0.98977187324,1,1,4.12197434829e-06,0,470.791961374,470.70001001,-0.0919513635193,false
12,2012-10-15 05:30:00,0,0,0,0.139448963204,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.989228776179,0.989235117389,1,1,6.34121032117e-06,0,495.522111794,495.380677172,-0.14143462165,false
13,2012-10-15 06:00:00,0,0,0,0.404118789212,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.986081710127,0.986100180996,1,1,1.84708685602e-05,0,639.783527878,639.371936164,-0.411591714203,false
14,2012-10-15 06:30:00,0,0,0,17.1370893067,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.982178516846,0.982966050874,1,1,0.00078753402785,0,818.378596798,800.846618597,-17.5319782014,false
15,2012-10-15 07:00:00,0,0,0,73.4284325548,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.981122314977,0.982897385708,1,1,0.0017750707313,0,866.643830243,791.614764877,-75.0290653661,false
16,2012-10-15 07:30:00,0,0,0,154.921217692,CONVERGED,CONVERGED,WITHIN_LIMITS,WITHIN_LIMITS,0.979816268797,0.982774092892,1,1,0.00295782409516,0,926.289292343,768.314615177,-157.974677166,false
