root_voltage_pu,case_role,rank,branch_id,from_bus,to_bus,active_power_kw,reactive_power_kvar,apparent_power_kva,current_pu,current_a
1,central_baseline,1,1,1,2,3917.67712645587,2435.14097097337,4612.81970335593,0.461281970335593,210.364352089712
1,central_baseline,2,2,2,3,3444.29917878047,2207.82242250566,4091.17057604136,0.410334824788171,187.1302697862
1,central_baseline,3,3,3,4,2362.89518771882,1684.20051509701,2901.69003223945,0.295205809649916,134.626503686983
1,central_baseline,4,4,4,5,2222.99471126534,1594.06540905622,2735.46157250714,0.280428887998667,127.88759397676
1,central_baseline,5,5,5,6,2144.29576915405,1554.5417547298,2648.5098475955,0.273589648140601,124.768607426122
1.03,sensitivity,1,1,1,2,3904.33947263273,2426.23020430918,4596.78797878042,0.446290095027226,203.527414297498
1.03,sensitivity,2,2,2,3,3431.81050824641,2199.37350840204,4076.09705404216,0.396843854370684,180.977808963004
1.03,sensitivity,3,3,3,4,2354.34035570563,1677.89789802276,2891.06552445518,0.285256273912512,130.089088887376
1.03,sensitivity,4,4,4,5,2215.75871389544,1588.43446077298,2726.29982107154,0.270931755625281,123.556494504166
1.03,sensitivity,5,5,5,6,2138.30485905031,1549.54494824231,2640.72664561507,0.264304923165019,120.534374832122
1.05,sensitivity,1,1,1,2,3896.19983736246,2420.79339504244,4587.00488708529,0.436857608293837,199.225796007886
1.05,sensitivity,2,2,2,3,3424.19107986729,2194.21986669314,4066.90120052523,0.388363498557913,177.110403187864
1.05,sensitivity,3,3,3,4,2349.12897287437,1674.05861398478,2884.59341576147,0.279014840247971,127.24272758694
1.05,sensitivity,4,4,4,5,2211.35157140169,1585.00476798885,2720.71973692406,0.264976417955359,120.840605241255
1.05,sensitivity,5,5,5,6,2134.65658817293,1546.501760262,2635.98680647752,0.258483752543156,117.87967149442
