root_voltage_pu,case_role,rank,bus,voltage_pu
1,central_baseline,1,18,0.913090479361094
1,central_baseline,2,17,0.91369754615708
1,central_baseline,3,16,0.915724760079179
1,central_baseline,4,33,0.916589822133562
1,central_baseline,5,32,0.916873465734178
1.03,sensitivity,1,18,0.946034954356643
1.03,sensitivity,2,17,0.946620879971773
1.03,sensitivity,3,16,0.948577469611616
1.03,sensitivity,4,33,0.949412597756444
1.03,sensitivity,5,32,0.949686434777909
1.05,sensitivity,1,18,0.967881227743114
1.05,sensitivity,2,17,0.968453927792548
1.05,sensitivity,3,16,0.970366337489406
1.05,sensitivity,4,33,0.971182736288493
1.05,sensitivity,5,32,0.971450434624011
