interval_index,timestamp,worst_bus,worst_voltage_pu,limit_type,limit_pu,worst_violation_pu,bus_time_violation_count
17,"2010-07-01 08:00:00",30,1.1280186476882381,"maximum",1.05,0.07801864768823807,29
18,"2010-07-01 08:30:00",30,1.228458823455355,"maximum",1.05,0.17845882345535502,30
19,"2010-07-01 09:00:00",30,1.329100855729765,"maximum",1.05,0.27910085572976495,30
20,"2010-07-01 09:30:00",30,1.4091377817351367,"maximum",1.05,0.35913778173513666,31
21,"2010-07-01 10:00:00",30,1.474420596826099,"maximum",1.05,0.424420596826099,31
22,"2010-07-01 10:30:00",30,1.4772358706809452,"maximum",1.05,0.42723587068094515,31
23,"2010-07-01 11:00:00",30,1.5466775136616673,"maximum",1.05,0.49667751366166724,31
24,"2010-07-01 11:30:00",30,1.563993009670823,"maximum",1.05,0.513993009670823,31
25,"2010-07-01 12:00:00",30,1.5721445677054466,"maximum",1.05,0.5221445677054466,31
26,"2010-07-01 12:30:00",30,1.56164797110928,"maximum",1.05,0.5116479711092801,31
27,"2010-07-01 13:00:00",30,1.5466978346560822,"maximum",1.05,0.4966978346560822,31
28,"2010-07-01 13:30:00",30,1.4957255622713437,"maximum",1.05,0.44572556227134363,31
29,"2010-07-01 14:00:00",30,1.433275584136026,"maximum",1.05,0.383275584136026,31
30,"2010-07-01 14:30:00",30,1.3271618227841413,"maximum",1.05,0.27716182278414125,30
31,"2010-07-01 15:00:00",30,1.2111248487654367,"maximum",1.05,0.16112484876543665,30
32,"2010-07-01 15:30:00",30,1.1199209364845952,"maximum",1.05,0.06992093648459519,29
65,"2010-07-02 08:00:00",24,1.069742627504892,"maximum",1.05,0.019742627504891974,11
66,"2010-07-02 08:30:00",30,1.1395405848976345,"maximum",1.05,0.0895405848976345,30
67,"2010-07-02 09:00:00",30,1.1754043103817196,"maximum",1.05,0.1254043103817195,30
68,"2010-07-02 09:30:00",30,1.1780944263051858,"maximum",1.05,0.12809442630518575,30
69,"2010-07-02 10:00:00",30,1.182261316380082,"maximum",1.05,0.13226131638008187,30
70,"2010-07-02 10:30:00",30,1.194853411196923,"maximum",1.05,0.14485341119692285,30
71,"2010-07-02 11:00:00",30,1.1933517686760318,"maximum",1.05,0.14335176867603172,30
72,"2010-07-02 11:30:00",30,1.1983036240121205,"maximum",1.05,0.1483036240121205,30
73,"2010-07-02 12:00:00",30,1.1911838013892648,"maximum",1.05,0.14118380138926478,30
74,"2010-07-02 12:30:00",30,1.1899792026855405,"maximum",1.05,0.13997920268554043,30
75,"2010-07-02 13:00:00",30,1.1671249709552918,"maximum",1.05,0.11712497095529173,30
76,"2010-07-02 13:30:00",30,1.1565799242591315,"maximum",1.05,0.10657992425913143,30
77,"2010-07-02 14:00:00",30,1.1164042592639134,"maximum",1.05,0.06640425926391336,28
78,"2010-07-02 14:30:00",30,1.0947602451336367,"maximum",1.05,0.044760245133636634,27
79,"2010-07-02 15:00:00",24,1.0587874398737278,"maximum",1.05,0.008787439873727765,10
112,"2010-07-03 07:30:00",24,1.0752495270450195,"maximum",1.05,0.025249527045019482,11
113,"2010-07-03 08:00:00",30,1.1583877273670278,"maximum",1.05,0.10838772736702773,30
114,"2010-07-03 08:30:00",30,1.2717333945078364,"maximum",1.05,0.22173339450783636,30
115,"2010-07-03 09:00:00",30,1.3773559075993158,"maximum",1.05,0.32735590759931577,31
116,"2010-07-03 09:30:00",30,1.4605945706676848,"maximum",1.05,0.4105945706676848,31
117,"2010-07-03 10:00:00",30,1.515882581139038,"maximum",1.05,0.4658825811390379,31
118,"2010-07-03 10:30:00",30,1.5576130862615407,"maximum",1.05,0.5076130862615407,31
119,"2010-07-03 11:00:00",30,1.5788483299071279,"maximum",1.05,0.5288483299071278,31
120,"2010-07-03 11:30:00",30,1.5879968112617346,"maximum",1.05,0.5379968112617346,31
121,"2010-07-03 12:00:00",30,1.5858969657039512,"maximum",1.05,0.5358969657039512,31
122,"2010-07-03 12:30:00",30,1.5773079834512669,"maximum",1.05,0.5273079834512668,31
123,"2010-07-03 13:00:00",30,1.5547551265176645,"maximum",1.05,0.5047551265176644,31
124,"2010-07-03 13:30:00",30,1.5169654962609533,"maximum",1.05,0.4669654962609533,31
125,"2010-07-03 14:00:00",30,1.4615977595561125,"maximum",1.05,0.41159775955611244,31
126,"2010-07-03 14:30:00",30,1.3849401854188788,"maximum",1.05,0.3349401854188787,31
127,"2010-07-03 15:00:00",30,1.2865980531436283,"maximum",1.05,0.23659805314362825,30
128,"2010-07-03 15:30:00",30,1.168987693847739,"maximum",1.05,0.118987693847739,30
129,"2010-07-03 16:00:00",24,1.057226167753177,"maximum",1.05,0.00722616775317686,6
